,tot_sewer_and_water,num_sewer_and_water,avg_sewer_and_water,tot_power,num_power,avg_power,tot_roads_and_bridges,num_roads_and_bridges,avg_roads_and_bridges,tot_buildings,num_buildings,avg_buildings,tot_shake_intensity,num_shake_intensity,avg_shake_intensity,tot_medical,num_medical,avg_medical,zone,time
1080,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Broadview,2020-04-06 00:00:00
1200,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Chapparal,2020-04-06 00:00:00
1560,10.0,1,10.0,1.0,1,1.0,4.0,1,4.0,3.0,1,3.0,0.0,0,0.0,0.0,0,0.0,Cheddarford,2020-04-06 00:00:00
720,31.0,7,4.428571428571429,35.0,7,5.0,27.0,7,3.8571428571428568,46.0,7,6.571428571428571,1.0,1,1.0,41.0,7,5.857142857142858,Downtown,2020-04-06 00:00:00
2160,13.0,3,4.333333333333333,17.0,3,5.666666666666668,9.0,3,3.0,14.0,3,4.666666666666667,0.0,1,0.0,0.0,0,0.0,East Parton,2020-04-06 00:00:00
1680,10.0,1,10.0,4.0,1,4.0,1.0,1,1.0,1.0,1,1.0,0.0,0,0.0,0.0,0,0.0,Easton,2020-04-06 00:00:00
240,13.0,3,4.333333333333333,25.0,3,8.333333333333334,9.0,3,3.0,15.0,3,5.0,0.0,2,0.0,0.0,0,0.0,Northwest,2020-04-06 00:00:00
2040,4.0,2,2.0,4.0,2,2.0,8.0,2,4.0,13.0,2,6.5,0.0,0,0.0,0.0,0,0.0,Oakwillow,2020-04-06 00:00:00
360,23.0,6,3.8333333333333335,32.0,6,5.333333333333333,49.0,6,8.166666666666666,25.0,6,4.166666666666667,1.0,1,1.0,35.0,6,5.833333333333332,Old Town,2020-04-06 00:00:00
120,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Palace Hills,2020-04-06 00:00:00
1440,10.0,2,5.0,6.0,2,3.0,17.0,2,8.5,7.0,2,3.5,0.0,1,0.0,0.0,0,0.0,Peppermill,2020-04-06 00:00:00
480,40.0,5,8.0,16.0,5,3.2,43.0,5,8.6,31.0,5,6.2,1.0,2,0.5,0.0,0,0.0,Safe Town,2020-04-06 00:00:00
960,58.0,12,4.833333333333333,69.0,12,5.75,67.0,12,5.583333333333332,61.0,12,5.083333333333333,0.0,1,0.0,0.0,0,0.0,Scenic Vista,2020-04-06 00:00:00
1920,7.0,1,7.0,5.0,1,5.0,4.0,1,4.0,9.0,1,9.0,0.0,0,0.0,3.0,1,3.0,Southton,2020-04-06 00:00:00
600,9.0,2,4.5,6.0,2,3.0,3.0,2,1.5,13.0,2,6.5,0.0,0,0.0,16.0,2,8.0,Southwest,2020-04-06 00:00:00
1320,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Terrapin Springs,2020-04-06 00:00:00
2280,21.0,3,7.0,23.0,3,7.666666666666668,15.0,3,5.0,13.0,3,4.333333333333333,2.0,2,1.0,0.0,0,0.0,West Parton,2020-04-06 00:00:00
1800,28.0,5,5.6,20.0,5,4.0,28.0,5,5.6,21.0,5,4.2,1.0,1,1.0,0.0,0,0.0,Weston,2020-04-06 00:00:00
840,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Wilson Forest,2020-04-06 00:00:00
1081,58.0,10,5.8,60.0,10,6.0,50.0,10,5.0,49.0,10,4.9,0.0,0,0.0,38.0,10,3.8,Broadview,2020-04-06 01:00:00
1201,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Chapparal,2020-04-06 01:00:00
1561,17.0,3,5.666666666666668,20.0,3,6.666666666666668,23.0,3,7.666666666666668,19.0,3,6.333333333333332,0.0,0,0.0,0.0,0,0.0,Cheddarford,2020-04-06 01:00:00
721,82.0,12,6.833333333333332,61.0,12,5.083333333333333,58.0,12,4.833333333333333,57.0,12,4.75,1.0,3,0.3333333333333333,61.0,12,5.083333333333333,Downtown,2020-04-06 01:00:00
2161,5.0,2,2.5,15.0,2,7.5,19.0,2,9.5,20.0,2,10.0,0.0,1,0.0,0.0,0,0.0,East Parton,2020-04-06 01:00:00
1681,44.0,8,5.5,50.0,8,6.25,41.0,8,5.125,35.0,8,4.375,0.0,1,0.0,0.0,0,0.0,Easton,2020-04-06 01:00:00
241,89.0,12,7.416666666666668,67.0,12,5.583333333333332,46.0,12,3.8333333333333335,63.0,12,5.25,3.0,4,0.75,0.0,0,0.0,Northwest,2020-04-06 01:00:00
2041,2.0,1,2.0,0.0,1,0.0,3.0,1,3.0,4.0,1,4.0,0.0,0,0.0,0.0,0,0.0,Oakwillow,2020-04-06 01:00:00
361,48.0,10,4.8,45.0,10,4.5,56.0,10,5.6,46.0,10,4.6,0.0,1,0.0,57.0,10,5.7,Old Town,2020-04-06 01:00:00
121,17.0,3,5.666666666666668,17.0,3,5.666666666666668,15.0,3,5.0,14.0,3,4.666666666666667,1.0,1,1.0,15.0,3,5.0,Palace Hills,2020-04-06 01:00:00
1441,20.0,3,6.666666666666668,25.0,3,8.333333333333334,16.0,3,5.333333333333333,23.0,3,7.666666666666668,0.0,0,0.0,0.0,0,0.0,Peppermill,2020-04-06 01:00:00
481,9.0,1,9.0,0.0,1,0.0,1.0,1,1.0,5.0,1,5.0,0.0,0,0.0,0.0,0,0.0,Safe Town,2020-04-06 01:00:00
961,35.0,6,5.833333333333332,24.0,6,4.0,30.0,6,5.0,33.0,6,5.5,0.0,0,0.0,0.0,0,0.0,Scenic Vista,2020-04-06 01:00:00
1921,20.0,2,10.0,8.0,2,4.0,10.0,2,5.0,14.0,2,7.0,0.0,0,0.0,16.0,2,8.0,Southton,2020-04-06 01:00:00
601,14.0,3,4.666666666666667,10.0,3,3.333333333333333,13.0,3,4.333333333333333,15.0,3,5.0,0.0,0,0.0,13.0,3,4.333333333333333,Southwest,2020-04-06 01:00:00
1321,15.0,2,7.5,10.0,2,5.0,14.0,2,7.0,11.0,2,5.5,0.0,0,0.0,16.0,2,8.0,Terrapin Springs,2020-04-06 01:00:00
2281,19.0,3,6.333333333333332,7.0,3,2.333333333333333,18.0,3,6.0,13.0,3,4.333333333333333,2.0,2,1.0,0.0,1,0.0,West Parton,2020-04-06 01:00:00
1801,53.0,8,6.625,45.0,8,5.625,47.0,8,5.875,34.0,8,4.25,1.0,2,0.5,0.0,0,0.0,Weston,2020-04-06 01:00:00
841,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Wilson Forest,2020-04-06 01:00:00
1082,54.0,8,6.75,40.0,8,5.0,37.0,8,4.625,59.0,8,7.375,0.0,0,0.0,43.0,8,5.375,Broadview,2020-04-06 02:00:00
1202,14.0,3,4.666666666666667,17.0,3,5.666666666666668,21.0,3,7.0,20.0,3,6.666666666666668,0.0,0,0.0,0.0,0,0.0,Chapparal,2020-04-06 02:00:00
1562,9.0,1,9.0,7.0,1,7.0,10.0,1,10.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,Cheddarford,2020-04-06 02:00:00
722,44.0,7,6.2857142857142865,37.0,7,5.285714285714286,40.0,7,5.7142857142857135,46.0,7,6.571428571428571,0.0,1,0.0,36.0,7,5.142857142857143,Downtown,2020-04-06 02:00:00
2162,22.0,3,7.333333333333332,21.0,3,7.0,18.0,3,6.0,8.0,3,2.6666666666666665,0.0,0,0.0,0.0,0,0.0,East Parton,2020-04-06 02:00:00
1682,9.0,2,4.5,15.0,2,7.5,11.0,2,5.5,2.0,2,1.0,0.0,0,0.0,0.0,0,0.0,Easton,2020-04-06 02:00:00
242,35.0,9,3.888888888888889,41.0,9,4.5555555555555545,50.0,9,5.5555555555555545,36.0,9,4.0,2.0,3,0.6666666666666666,0.0,0,0.0,Northwest,2020-04-06 02:00:00
2042,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Oakwillow,2020-04-06 02:00:00
362,66.0,12,5.5,41.0,12,3.4166666666666665,67.0,12,5.583333333333332,60.0,12,5.0,0.0,1,0.0,59.0,12,4.916666666666667,Old Town,2020-04-06 02:00:00
122,43.0,8,5.375,47.0,8,5.875,32.0,8,4.0,51.0,8,6.375,0.0,0,0.0,58.0,8,7.25,Palace Hills,2020-04-06 02:00:00
1442,14.0,3,4.666666666666667,30.0,3,10.0,24.0,3,8.0,14.0,3,4.666666666666667,1.0,2,0.5,0.0,0,0.0,Peppermill,2020-04-06 02:00:00
482,20.0,2,10.0,18.0,2,9.0,16.0,2,8.0,10.0,2,5.0,0.0,0,0.0,0.0,0,0.0,Safe Town,2020-04-06 02:00:00
