time,tot_sewer_and_water,num_sewer_and_water,avg_sewer_and_water,tot_power,num_power,avg_power,tot_roads_and_bridges,num_roads_and_bridges,avg_roads_and_bridges,tot_buildings,num_buildings,avg_buildings,tot_shake_intensity,num_shake_intensity,avg_shake_intensity,tot_medical,num_medical,avg_medical
2020-04-06 00:00:00,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 01:00:00,58.0,10,5.8,60.0,10,6.0,50.0,10,5.0,49.0,10,4.9,0.0,0,0.0,38.0,10,3.8
2020-04-06 02:00:00,54.0,8,6.75,40.0,8,5.0,37.0,8,4.625,59.0,8,7.375,0.0,0,0.0,43.0,8,5.375
2020-04-06 03:00:00,52.0,9,5.777777777777778,73.0,9,8.11111111111111,63.0,9,7.0,59.0,9,6.555555555555555,0.0,0,0.0,40.0,9,4.444444444444445
2020-04-06 04:00:00,74.0,10,7.4,62.0,10,6.2,40.0,10,4.0,59.0,10,5.9,0.0,2,0.0,62.0,10,6.2
2020-04-06 05:00:00,29.0,4,7.25,26.0,4,6.5,8.0,4,2.0,19.0,4,4.75,0.0,0,0.0,23.0,4,5.75
2020-04-06 06:00:00,69.0,10,6.9,63.0,10,6.3,64.0,10,6.4,76.0,10,7.6,0.0,0,0.0,30.0,10,3.0
2020-04-06 07:00:00,63.0,13,4.846153846153846,76.0,13,5.846153846153846,98.0,13,7.538461538461538,71.0,13,5.461538461538462,2.0,3,0.6666666666666666,61.0,13,4.6923076923076925
2020-04-06 08:00:00,37.0,8,4.625,41.0,8,5.125,46.0,8,5.75,44.0,8,5.5,0.0,3,0.0,39.0,8,4.875
2020-04-06 09:00:00,65.0,12,5.416666666666667,81.0,12,6.75,61.0,12,5.083333333333333,44.0,12,3.6666666666666665,1.0,4,0.25,73.0,12,6.083333333333333
2020-04-06 10:00:00,93.0,15,6.2,57.0,15,3.8,77.0,15,5.133333333333334,58.0,15,3.8666666666666667,1.0,1,1.0,84.0,15,5.6
2020-04-06 11:00:00,43.0,6,7.166666666666667,24.0,6,4.0,38.0,6,6.333333333333333,36.0,6,6.0,0.0,1,0.0,41.0,6,6.833333333333333
2020-04-06 12:00:00,44.0,7,6.285714285714286,36.0,7,5.142857142857143,25.0,7,3.5714285714285716,33.0,7,4.714285714285714,0.0,1,0.0,40.0,7,5.714285714285714
2020-04-06 13:00:00,29.0,5,5.8,33.0,5,6.6,22.0,5,4.4,29.0,5,5.8,0.0,1,0.0,37.0,5,7.4
2020-04-06 14:00:00,34.0,10,3.4,44.0,10,4.4,53.0,10,5.3,57.0,10,5.7,1.0,2,0.5,41.0,10,4.1
2020-04-06 15:00:00,55.0,50,1.1,36.0,50,0.72,60.0,50,1.2,171.0,50,3.42,8.0,45,0.17777777777777778,37.0,50,0.74
2020-04-06 16:00:00,55.0,143,0.38461538461538464,76.0,143,0.5314685314685315,181.0,143,1.2657342657342658,445.0,143,3.111888111888112,29.0,134,0.21641791044776118,71.0,143,0.4965034965034965
2020-04-06 17:00:00,93.0,105,0.8857142857142857,85.0,105,0.8095238095238095,134.0,105,1.276190476190476,344.0,105,3.276190476190476,24.0,94,0.2553191489361702,102.0,105,0.9714285714285714
2020-04-06 18:00:00,54.0,55,0.9818181818181818,49.0,55,0.8909090909090909,100.0,55,1.8181818181818181,180.0,55,3.272727272727273,6.0,47,0.1276595744680851,64.0,55,1.1636363636363636
2020-04-06 19:00:00,63.0,24,2.625,46.0,24,1.9166666666666667,82.0,24,3.4166666666666665,78.0,24,3.25,3.0,11,0.2727272727272727,68.0,24,2.8333333333333335
2020-04-06 20:00:00,58.0,17,3.411764705882353,48.0,17,2.823529411764706,67.0,17,3.9411764705882355,73.0,17,4.294117647058823,5.0,10,0.5,63.0,17,3.7058823529411766
2020-04-06 21:00:00,35.0,6,5.833333333333333,41.0,6,6.833333333333333,29.0,6,4.833333333333333,26.0,6,4.333333333333333,0.0,1,0.0,14.0,6,2.3333333333333335
2020-04-06 22:00:00,49.0,12,4.083333333333333,72.0,12,6.0,63.0,12,5.25,70.0,12,5.833333333333333,3.0,4,0.75,85.0,12,7.083333333333333
2020-04-06 23:00:00,64.0,14,4.571428571428571,86.0,14,6.142857142857143,84.0,14,6.0,71.0,14,5.071428571428571,3.0,5,0.6,100.0,14,7.142857142857143
2020-04-07 00:00:00,95.0,17,5.588235294117647,94.0,17,5.529411764705882,95.0,17,5.588235294117647,116.0,17,6.823529411764706,0.0,2,0.0,86.0,17,5.0588235294117645
2020-04-07 01:00:00,34.0,7,4.857142857142857,41.0,7,5.857142857142857,27.0,7,3.857142857142857,44.0,7,6.285714285714286,0.0,0,0.0,43.0,7,6.142857142857143
2020-04-07 02:00:00,18.0,5,3.6,22.0,5,4.4,29.0,5,5.8,19.0,5,3.8,0.0,0,0.0,35.0,5,7.0
2020-04-07 03:00:00,21.0,6,3.5,41.0,6,6.833333333333333,26.0,6,4.333333333333333,24.0,6,4.0,0.0,1,0.0,38.0,6,6.333333333333333
2020-04-07 04:00:00,98.0,15,6.533333333333333,96.0,15,6.4,68.0,15,4.533333333333333,95.0,15,6.333333333333333,1.0,1,1.0,77.0,15,5.133333333333334
2020-04-07 05:00:00,71.0,14,5.071428571428571,66.0,14,4.714285714285714,64.0,14,4.571428571428571,109.0,14,7.785714285714286,1.0,2,0.5,54.0,14,3.857142857142857
2020-04-07 06:00:00,54.0,10,5.4,46.0,10,4.6,53.0,10,5.3,49.0,10,4.9,1.0,2,0.5,53.0,10,5.3
2020-04-07 07:00:00,28.0,7,4.0,45.0,7,6.428571428571429,39.0,7,5.571428571428571,23.0,7,3.2857142857142856,0.0,0,0.0,35.0,7,5.0
2020-04-07 08:00:00,26.0,4,6.5,17.0,4,4.25,18.0,4,4.5,27.0,4,6.75,0.0,0,0.0,8.0,4,2.0
2020-04-07 09:00:00,54.0,8,6.75,41.0,8,5.125,25.0,8,3.125,44.0,8,5.5,3.0,3,1.0,41.0,8,5.125
2020-04-07 10:00:00,72.0,9,8.0,52.0,9,5.777777777777778,39.0,9,4.333333333333333,54.0,9,6.0,0.0,2,0.0,56.0,9,6.222222222222222
2020-04-07 11:00:00,51.0,13,3.923076923076923,75.0,13,5.769230769230769,76.0,13,5.846153846153846,63.0,13,4.846153846153846,1.0,2,0.5,52.0,13,4.0
2020-04-07 12:00:00,44.0,7,6.285714285714286,45.0,7,6.428571428571429,49.0,7,7.0,39.0,7,5.571428571428571,1.0,2,0.5,23.0,7,3.2857142857142856
2020-04-07 13:00:00,50.0,9,5.555555555555555,63.0,9,7.0,35.0,9,3.888888888888889,33.0,9,3.6666666666666665,0.0,0,0.0,27.0,9,3.0
2020-04-07 14:00:00,96.0,15,6.4,67.0,15,4.466666666666667,86.0,15,5.733333333333333,92.0,15,6.133333333333334,0.0,1,0.0,76.0,15,5.066666666666666
2020-04-07 15:00:00,29.0,5,5.8,28.0,5,5.6,16.0,5,3.2,35.0,5,7.0,0.0,0,0.0,26.0,5,5.2
2020-04-07 16:00:00,69.0,14,4.928571428571429,82.0,14,5.857142857142857,85.0,14,6.071428571428571,74.0,14,5.285714285714286,1.0,3,0.3333333333333333,102.0,14,7.285714285714286
2020-04-07 17:00:00,41.0,8,5.125,40.0,8,5.0,48.0,8,6.0,59.0,8,7.375,0.0,3,0.0,52.0,8,6.5
2020-04-07 18:00:00,29.0,10,2.9,37.0,10,3.7,64.0,10,6.4,70.0,10,7.0,0.0,3,0.0,51.0,10,5.1
2020-04-07 19:00:00,82.0,14,5.857142857142857,102.0,14,7.285714285714286,53.0,14,3.7857142857142856,92.0,14,6.571428571428571,0.0,2,0.0,72.0,14,5.142857142857143
2020-04-07 20:00:00,16.0,4,4.0,24.0,4,6.0,26.0,4,6.5,40.0,4,10.0,0.0,2,0.0,25.0,4,6.25
2020-04-07 21:00:00,54.0,10,5.4,53.0,10,5.3,59.0,10,5.9,53.0,10,5.3,2.0,3,0.6666666666666666,44.0,10,4.4
2020-04-07 22:00:00,28.0,9,3.111111111111111,51.0,9,5.666666666666667,57.0,9,6.333333333333333,40.0,9,4.444444444444445,1.0,1,1.0,55.0,9,6.111111111111111
2020-04-07 23:00:00,44.0,10,4.4,48.0,10,4.8,74.0,10,7.4,40.0,10,4.0,0.0,1,0.0,47.0,10,4.7
2020-04-08 00:00:00,35.0,5,7.0,24.0,5,4.8,21.0,5,4.2,24.0,5,4.8,0.0,0,0.0,29.0,5,5.8
2020-04-08 01:00:00,49.0,10,4.9,48.0,10,4.8,61.0,10,6.1,46.0,10,4.6,2.0,5,0.4,58.0,10,5.8
2020-04-08 02:00:00,44.0,6,7.333333333333333,44.0,6,7.333333333333333,32.0,6,5.333333333333333,28.0,6,4.666666666666667,1.0,2,0.5,30.0,6,5.0
2020-04-08 03:00:00,43.0,7,6.142857142857143,35.0,7,5.0,27.0,7,3.857142857142857,40.0,7,5.714285714285714,0.0,1,0.0,58.0,7,8.285714285714286
2020-04-08 04:00:00,74.0,15,4.933333333333334,54.0,15,3.6,82.0,15,5.466666666666667,69.0,15,4.6,2.0,4,0.5,88.0,15,5.866666666666666
2020-04-08 05:00:00,7.0,3,2.3333333333333335,14.0,3,4.666666666666667,10.0,3,3.3333333333333335,17.0,3,5.666666666666667,1.0,1,1.0,27.0,3,9.0
2020-04-08 06:00:00,39.0,7,5.571428571428571,35.0,7,5.0,54.0,7,7.714285714285714,24.0,7,3.4285714285714284,0.0,1,0.0,27.0,7,3.857142857142857
2020-04-08 07:00:00,70.0,12,5.833333333333333,60.0,12,5.0,63.0,12,5.25,79.0,12,6.583333333333333,0.0,1,0.0,67.0,12,5.583333333333333
2020-04-08 08:00:00,85.0,11,7.7272727272727275,52.0,11,4.7272727272727275,78.0,11,7.090909090909091,51.0,11,4.636363636363637,1.0,1,1.0,58.0,11,5.2727272727272725
2020-04-08 09:00:00,8564.0,1226,6.985318107667211,8539.0,1226,6.964926590538336,8518.0,1226,6.947797716150082,7305.0,1226,5.958401305057096,1229.0,1218,1.0090311986863711,6217.0,1226,5.0709624796084825
