time,tot_sewer_and_water,num_sewer_and_water,avg_sewer_and_water,tot_power,num_power,avg_power,tot_roads_and_bridges,num_roads_and_bridges,avg_roads_and_bridges,tot_buildings,num_buildings,avg_buildings,tot_shake_intensity,num_shake_intensity,avg_shake_intensity,tot_medical,num_medical,avg_medical
2020-04-06 00:00:00,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 01:00:00,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 02:00:00,14.0,3,4.666666666666667,17.0,3,5.666666666666667,21.0,3,7.0,20.0,3,6.666666666666667,0.0,0,0.0,0.0,0,0.0
2020-04-06 03:00:00,0.0,2,0.0,9.0,2,4.5,10.0,2,5.0,17.0,2,8.5,0.0,0,0.0,0.0,0,0.0
2020-04-06 04:00:00,9.0,1,9.0,4.0,1,4.0,3.0,1,3.0,10.0,1,10.0,1.0,1,1.0,0.0,0,0.0
2020-04-06 05:00:00,2.0,1,2.0,8.0,1,8.0,1.0,1,1.0,10.0,1,10.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 06:00:00,7.0,2,3.5,13.0,2,6.5,5.0,2,2.5,12.0,2,6.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 07:00:00,22.0,4,5.5,18.0,4,4.5,29.0,4,7.25,21.0,4,5.25,0.0,0,0.0,0.0,0,0.0
2020-04-06 08:00:00,27.0,5,5.4,38.0,5,7.6,26.0,5,5.2,24.0,5,4.8,0.0,0,0.0,0.0,0,0.0
2020-04-06 09:00:00,5.0,3,1.6666666666666667,18.0,3,6.0,25.0,3,8.333333333333334,10.0,3,3.3333333333333335,1.0,1,1.0,0.0,0,0.0
2020-04-06 10:00:00,8.0,3,2.6666666666666665,11.0,3,3.6666666666666665,12.0,3,4.0,18.0,3,6.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 11:00:00,21.0,4,5.25,28.0,4,7.0,38.0,4,9.5,21.0,4,5.25,1.0,1,1.0,0.0,0,0.0
2020-04-06 12:00:00,22.0,3,7.333333333333333,25.0,3,8.333333333333334,13.0,3,4.333333333333333,7.0,3,2.3333333333333335,0.0,0,0.0,0.0,0,0.0
2020-04-06 13:00:00,17.0,3,5.666666666666667,15.0,3,5.0,17.0,3,5.666666666666667,14.0,3,4.666666666666667,0.0,0,0.0,0.0,0,0.0
2020-04-06 14:00:00,11.0,3,3.6666666666666665,20.0,3,6.666666666666667,22.0,3,7.333333333333333,24.0,3,8.0,2.0,2,1.0,0.0,0,0.0
2020-04-06 15:00:00,7.0,13,0.5384615384615384,16.0,13,1.2307692307692308,39.0,13,3.0,49.0,13,3.769230769230769,3.0,11,0.2727272727272727,0.0,0,0.0
2020-04-06 16:00:00,26.0,57,0.45614035087719296,23.0,57,0.40350877192982454,179.0,57,3.1403508771929824,239.0,57,4.192982456140351,13.0,53,0.24528301886792453,0.0,0,0.0
2020-04-06 17:00:00,19.0,35,0.5428571428571428,35.0,35,1.0,113.0,35,3.2285714285714286,149.0,35,4.257142857142857,6.0,32,0.1875,13.0,2,6.5
2020-04-06 18:00:00,23.0,29,0.7931034482758621,25.0,29,0.8620689655172413,96.0,29,3.310344827586207,116.0,29,4.0,3.0,26,0.11538461538461539,0.0,0,0.0
