time,tot_sewer_and_water,num_sewer_and_water,avg_sewer_and_water,tot_power,num_power,avg_power,tot_roads_and_bridges,num_roads_and_bridges,avg_roads_and_bridges,tot_buildings,num_buildings,avg_buildings,tot_shake_intensity,num_shake_intensity,avg_shake_intensity,tot_medical,num_medical,avg_medical
2020-04-06 00:00:00,31.0,7,4.428571428571429,35.0,7,5.0,27.0,7,3.857142857142857,46.0,7,6.571428571428571,1.0,1,1.0,41.0,7,5.857142857142857
2020-04-06 01:00:00,82.0,12,6.833333333333333,61.0,12,5.083333333333333,58.0,12,4.833333333333333,57.0,12,4.75,1.0,3,0.3333333333333333,61.0,12,5.083333333333333
2020-04-06 02:00:00,44.0,7,6.285714285714286,37.0,7,5.285714285714286,40.0,7,5.714285714285714,46.0,7,6.571428571428571,0.0,1,0.0,36.0,7,5.142857142857143
2020-04-06 03:00:00,101.0,16,6.3125,84.0,16,5.25,75.0,16,4.6875,116.0,16,7.25,2.0,4,0.5,84.0,16,5.25
2020-04-06 04:00:00,96.0,16,6.0,83.0,16,5.1875,104.0,16,6.5,100.0,16,6.25,1.0,1,1.0,95.0,16,5.9375
2020-04-06 05:00:00,49.0,8,6.125,37.0,8,4.625,56.0,8,7.0,49.0,8,6.125,1.0,1,1.0,33.0,8,4.125
2020-04-06 06:00:00,81.0,16,5.0625,86.0,16,5.375,74.0,16,4.625,90.0,16,5.625,2.0,6,0.3333333333333333,95.0,16,5.9375
2020-04-06 07:00:00,71.0,10,7.1,56.0,10,5.6,60.0,10,6.0,70.0,10,7.0,0.0,1,0.0,58.0,10,5.8
2020-04-06 08:00:00,75.0,14,5.357142857142857,64.0,14,4.571428571428571,86.0,14,6.142857142857143,74.0,14,5.285714285714286,2.0,2,1.0,74.0,14,5.285714285714286
2020-04-06 09:00:00,38.0,8,4.75,28.0,8,3.5,36.0,8,4.5,30.0,8,3.75,1.0,1,1.0,36.0,8,4.5
2020-04-06 10:00:00,50.0,8,6.25,49.0,8,6.125,58.0,8,7.25,43.0,8,5.375,1.0,1,1.0,38.0,8,4.75
2020-04-06 11:00:00,68.0,14,4.857142857142857,67.0,14,4.785714285714286,60.0,14,4.285714285714286,87.0,14,6.214285714285714,0.0,1,0.0,61.0,14,4.357142857142857
2020-04-06 12:00:00,66.0,9,7.333333333333333,37.0,9,4.111111111111111,64.0,9,7.111111111111111,30.0,9,3.3333333333333335,0.0,0,0.0,59.0,9,6.555555555555555
2020-04-06 13:00:00,58.0,11,5.2727272727272725,70.0,11,6.363636363636363,73.0,11,6.636363636363637,64.0,11,5.818181818181818,2.0,3,0.6666666666666666,57.0,11,5.181818181818182
2020-04-06 14:00:00,65.0,14,4.642857142857143,69.0,14,4.928571428571429,79.0,14,5.642857142857143,67.0,14,4.785714285714286,1.0,2,0.5,77.0,14,5.5
2020-04-06 15:00:00,38.0,22,1.7272727272727273,63.0,22,2.8636363636363638,54.0,22,2.4545454545454546,66.0,22,3.0,8.0,17,0.47058823529411764,34.0,22,1.5454545454545454
2020-04-06 16:00:00,95.0,79,1.2025316455696202,84.0,79,1.0632911392405062,86.0,79,1.0886075949367089,138.0,79,1.7468354430379747,10.0,66,0.15151515151515152,95.0,79,1.2025316455696202
2020-04-06 17:00:00,96.0,76,1.263157894736842,79.0,76,1.0394736842105263,79.0,76,1.0394736842105263,142.0,76,1.868421052631579,17.0,65,0.26153846153846155,66.0,76,0.868421052631579
2020-04-06 18:00:00,58.0,40,1.45,58.0,40,1.45,74.0,40,1.85,86.0,40,2.15,7.0,32,0.21875,54.0,40,1.35
2020-04-06 19:00:00,41.0,24,1.7083333333333333,42.0,24,1.75,62.0,24,2.5833333333333335,61.0,24,2.5416666666666665,5.0,18,0.2777777777777778,51.0,24,2.125
2020-04-06 20:00:00,21.0,11,1.9090909090909092,37.0,11,3.3636363636363638,63.0,11,5.7272727272727275,35.0,11,3.1818181818181817,3.0,4,0.75,40.0,11,3.6363636363636362
2020-04-06 21:00:00,73.0,14,5.214285714285714,57.0,14,4.071428571428571,52.0,14,3.7142857142857144,51.0,14,3.642857142857143,0.0,2,0.0,53.0,14,3.7857142857142856
2020-04-06 22:00:00,65.0,11,5.909090909090909,46.0,11,4.181818181818182,48.0,11,4.363636363636363,54.0,11,4.909090909090909,0.0,2,0.0,61.0,11,5.545454545454546
2020-04-06 23:00:00,52.0,9,5.777777777777778,50.0,9,5.555555555555555,63.0,9,7.0,49.0,9,5.444444444444445,0.0,4,0.0,66.0,9,7.333333333333333
2020-04-07 00:00:00,37.0,8,4.625,42.0,8,5.25,30.0,8,3.75,36.0,8,4.5,0.0,1,0.0,42.0,8,5.25
2020-04-07 01:00:00,50.0,7,7.142857142857143,26.0,7,3.7142857142857144,40.0,7,5.714285714285714,51.0,7,7.285714285714286,0.0,3,0.0,41.0,7,5.857142857142857
2020-04-07 02:00:00,61.0,11,5.545454545454546,52.0,11,4.7272727272727275,75.0,11,6.818181818181818,61.0,11,5.545454545454546,1.0,3,0.3333333333333333,47.0,11,4.2727272727272725
2020-04-07 03:00:00,56.0,10,5.6,60.0,10,6.0,49.0,10,4.9,53.0,10,5.3,1.0,2,0.5,69.0,10,6.9
2020-04-07 04:00:00,61.0,13,4.6923076923076925,69.0,13,5.3076923076923075,77.0,13,5.923076923076923,77.0,13,5.923076923076923,0.0,0,0.0,67.0,13,5.153846153846154
2020-04-07 05:00:00,62.0,12,5.166666666666667,72.0,12,6.0,74.0,12,6.166666666666667,79.0,12,6.583333333333333,1.0,1,1.0,52.0,12,4.333333333333333
2020-04-07 06:00:00,26.0,5,5.2,29.0,5,5.8,28.0,5,5.6,26.0,5,5.2,0.0,0,0.0,29.0,5,5.8
2020-04-07 07:00:00,32.0,7,4.571428571428571,44.0,7,6.285714285714286,45.0,7,6.428571428571429,46.0,7,6.571428571428571,0.0,0,0.0,38.0,7,5.428571428571429
2020-04-07 08:00:00,50.0,10,5.0,64.0,10,6.4,63.0,10,6.3,65.0,10,6.5,1.0,2,0.5,57.0,10,5.7
2020-04-07 09:00:00,51.0,12,4.25,70.0,12,5.833333333333333,84.0,12,7.0,80.0,12,6.666666666666667,3.0,4,0.75,58.0,12,4.833333333333333
2020-04-07 10:00:00,104.0,15,6.933333333333334,104.0,15,6.933333333333334,85.0,15,5.666666666666667,81.0,15,5.4,1.0,2,0.5,87.0,15,5.8
2020-04-07 11:00:00,29.0,6,4.833333333333333,31.0,6,5.166666666666667,13.0,6,2.1666666666666665,31.0,6,5.166666666666667,0.0,0,0.0,25.0,6,4.166666666666667
2020-04-07 12:00:00,69.0,16,4.3125,90.0,16,5.625,92.0,16,5.75,90.0,16,5.625,3.0,4,0.75,83.0,16,5.1875
2020-04-07 13:00:00,77.0,13,5.923076923076923,79.0,13,6.076923076923077,78.0,13,6.0,75.0,13,5.769230769230769,5.0,6,0.8333333333333334,61.0,13,4.6923076923076925
2020-04-07 14:00:00,67.0,11,6.090909090909091,74.0,11,6.7272727272727275,75.0,11,6.818181818181818,55.0,11,5.0,3.0,3,1.0,66.0,11,6.0
2020-04-07 15:00:00,40.0,8,5.0,46.0,8,5.75,52.0,8,6.5,44.0,8,5.5,2.0,3,0.6666666666666666,24.0,8,3.0
2020-04-07 16:00:00,60.0,8,7.5,36.0,8,4.5,38.0,8,4.75,47.0,8,5.875,0.0,0,0.0,43.0,8,5.375
2020-04-07 17:00:00,63.0,10,6.3,62.0,10,6.2,57.0,10,5.7,40.0,10,4.0,1.0,2,0.5,62.0,10,6.2
2020-04-07 18:00:00,59.0,9,6.555555555555555,34.0,9,3.7777777777777777,54.0,9,6.0,64.0,9,7.111111111111111,0.0,0,0.0,46.0,9,5.111111111111111
2020-04-07 19:00:00,22.0,7,3.142857142857143,41.0,7,5.857142857142857,43.0,7,6.142857142857143,36.0,7,5.142857142857143,0.0,0,0.0,34.0,7,4.857142857142857
2020-04-07 20:00:00,54.0,11,4.909090909090909,68.0,11,6.181818181818182,53.0,11,4.818181818181818,41.0,11,3.727272727272727,1.0,3,0.3333333333333333,64.0,11,5.818181818181818
2020-04-07 21:00:00,46.0,8,5.75,54.0,8,6.75,49.0,8,6.125,41.0,8,5.125,0.0,0,0.0,41.0,8,5.125
2020-04-07 22:00:00,30.0,7,4.285714285714286,40.0,7,5.714285714285714,20.0,7,2.857142857142857,56.0,7,8.0,0.0,0,0.0,34.0,7,4.857142857142857
2020-04-07 23:00:00,33.0,7,4.714285714285714,36.0,7,5.142857142857143,29.0,7,4.142857142857143,46.0,7,6.571428571428571,0.0,0,0.0,47.0,7,6.714285714285714
2020-04-08 00:00:00,71.0,14,5.071428571428571,84.0,14,6.0,64.0,14,4.571428571428571,74.0,14,5.285714285714286,5.0,7,0.7142857142857143,91.0,14,6.5
2020-04-08 01:00:00,26.0,6,4.333333333333333,41.0,6,6.833333333333333,35.0,6,5.833333333333333,44.0,6,7.333333333333333,0.0,1,0.0,42.0,6,7.0
2020-04-08 02:00:00,55.0,10,5.5,68.0,10,6.8,60.0,10,6.0,41.0,10,4.1,1.0,1,1.0,61.0,10,6.1
2020-04-08 03:00:00,32.0,10,3.2,60.0,10,6.0,56.0,10,5.6,37.0,10,3.7,2.0,2,1.0,47.0,10,4.7
2020-04-08 04:00:00,93.0,20,4.65,112.0,20,5.6,110.0,20,5.5,101.0,20,5.05,1.0,1,1.0,100.0,20,5.0
2020-04-08 05:00:00,30.0,7,4.285714285714286,52.0,7,7.428571428571429,50.0,7,7.142857142857143,45.0,7,6.428571428571429,0.0,1,0.0,53.0,7,7.571428571428571
2020-04-08 06:00:00,50.0,9,5.555555555555555,58.0,9,6.444444444444445,49.0,9,5.444444444444445,49.0,9,5.444444444444445,1.0,2,0.5,56.0,9,6.222222222222222
2020-04-08 07:00:00,48.0,10,4.8,74.0,10,7.4,63.0,10,6.3,46.0,10,4.6,0.0,0,0.0,60.0,10,6.0
2020-04-08 08:00:00,36.0,5,7.2,10.0,5,2.0,27.0,5,5.4,28.0,5,5.6,0.0,0,0.0,29.0,5,5.8
2020-04-08 09:00:00,734.0,365,2.010958904109589,727.0,365,1.9917808219178081,747.0,365,2.0465753424657533,728.0,365,1.9945205479452055,722.0,358,2.016759776536313,768.0,365,2.1041095890410957
2020-04-08 10:00:00,588.0,279,2.10752688172043,557.0,279,1.996415770609319,566.0,279,2.028673835125448,596.0,279,2.1362007168458783,485.0,276,1.7572463768115942,563.0,279,2.017921146953405
2020-04-08 11:00:00,436.0,199,2.190954773869347,412.0,199,2.07035175879397,455.0,199,2.28643216080402,473.0,199,2.3768844221105527,207.0,185,1.1189189189189188,459.0,199,2.306532663316583
2020-04-08 12:00:00,314.0,132,2.378787878787879,301.0,132,2.2803030303030303,315.0,132,2.3863636363636362,306.0,132,2.3181818181818183,130.0,122,1.0655737704918034,308.0,132,2.3333333333333335
2020-04-08 13:00:00,165.0,68,2.426470588235294,174.0,68,2.5588235294117645,156.0,68,2.2941176470588234,175.0,68,2.573529411764706,60.0,59,1.0169491525423728,169.0,68,2.485294117647059
2020-04-08 14:00:00,85.0,35,2.4285714285714284,99.0,35,2.8285714285714287,88.0,35,2.5142857142857142,96.0,35,2.742857142857143,24.0,29,0.8275862068965517,101.0,35,2.8857142857142857
2020-04-08 15:00:00,91.0,27,3.3703703703703702,90.0,27,3.3333333333333335,116.0,27,4.296296296296297,80.0,27,2.962962962962963,25.0,18,1.3888888888888888,91.0,27,3.3703703703703702
2020-04-08 16:00:00,131.0,25,5.24,80.0,25,3.2,116.0,25,4.64,116.0,25,4.64,9.0,11,0.8181818181818182,87.0,25,3.48
2020-04-08 17:00:00,91.0,15,6.066666666666666,70.0,15,4.666666666666667,59.0,15,3.933333333333333,50.0,15,3.3333333333333335,3.0,3,1.0,65.0,15,4.333333333333333
2020-04-08 18:00:00,70.0,13,5.384615384615385,60.0,13,4.615384615384615,80.0,13,6.153846153846154,64.0,13,4.923076923076923,0.0,2,0.0,72.0,13,5.538461538461538
2020-04-08 19:00:00,70.0,16,4.375,81.0,16,5.0625,81.0,16,5.0625,76.0,16,4.75,1.0,3,0.3333333333333333,100.0,16,6.25
2020-04-08 20:00:00,78.0,11,7.090909090909091,61.0,11,5.545454545454546,46.0,11,4.181818181818182,70.0,11,6.363636363636363,0.0,1,0.0,56.0,11,5.090909090909091
2020-04-08 21:00:00,97.0,18,5.388888888888889,113.0,18,6.277777777777778,108.0,18,6.0,90.0,18,5.0,2.0,4,0.5,99.0,18,5.5
2020-04-08 22:00:00,83.0,14,5.928571428571429,81.0,14,5.785714285714286,86.0,14,6.142857142857143,98.0,14,7.0,1.0,7,0.14285714285714285,57.0,14,4.071428571428571
2020-04-08 23:00:00,30.0,9,3.3333333333333335,54.0,9,6.0,65.0,9,7.222222222222222,47.0,9,5.222222222222222,2.0,2,1.0,60.0,9,6.666666666666667
2020-04-09 00:00:00,134.0,20,6.7,131.0,20,6.55,130.0,20,6.5,113.0,20,5.65,1.0,3,0.3333333333333333,122.0,20,6.1
2020-04-09 01:00:00,38.0,10,3.8,51.0,10,5.1,50.0,10,5.0,43.0,10,4.3,0.0,0,0.0,48.0,10,4.8
2020-04-09 02:00:00,78.0,13,6.0,63.0,13,4.846153846153846,52.0,13,4.0,49.0,13,3.769230769230769,2.0,3,0.6666666666666666,65.0,13,5.0
2020-04-09 03:00:00,66.0,11,6.0,52.0,11,4.7272727272727275,49.0,11,4.454545454545454,60.0,11,5.454545454545454,2.0,3,0.6666666666666666,71.0,11,6.454545454545454
2020-04-09 04:00:00,49.0,9,5.444444444444445,52.0,9,5.777777777777778,45.0,9,5.0,47.0,9,5.222222222222222,1.0,1,1.0,62.0,9,6.888888888888889
2020-04-09 05:00:00,18.0,5,3.6,27.0,5,5.4,26.0,5,5.2,20.0,5,4.0,0.0,0,0.0,36.0,5,7.2
2020-04-09 06:00:00,55.0,15,3.6666666666666665,96.0,15,6.4,78.0,15,5.2,105.0,15,7.0,3.0,4,0.75,86.0,15,5.733333333333333
2020-04-09 07:00:00,92.0,13,7.076923076923077,68.0,13,5.230769230769231,84.0,13,6.461538461538462,47.0,13,3.6153846153846154,0.0,0,0.0,72.0,13,5.538461538461538
2020-04-09 08:00:00,32.0,5,6.4,19.0,5,3.8,28.0,5,5.6,30.0,5,6.0,1.0,1,1.0,29.0,5,5.8
2020-04-09 09:00:00,63.0,10,6.3,70.0,10,7.0,67.0,10,6.7,49.0,10,4.9,0.0,1,0.0,54.0,10,5.4
2020-04-09 10:00:00,57.0,10,5.7,69.0,10,6.9,41.0,10,4.1,39.0,10,3.9,2.0,4,0.5,52.0,10,5.2
2020-04-09 11:00:00,49.0,7,7.0,43.0,7,6.142857142857143,51.0,7,7.285714285714286,10.0,7,1.4285714285714286,0.0,1,0.0,28.0,7,4.0
2020-04-09 12:00:00,56.0,8,7.0,47.0,8,5.875,39.0,8,4.875,46.0,8,5.75,2.0,3,0.6666666666666666,31.0,8,3.875
2020-04-09 13:00:00,28.0,4,7.0,16.0,4,4.0,25.0,4,6.25,25.0,4,6.25,1.0,1,1.0,22.0,4,5.5
2020-04-09 14:00:00,79.0,16,4.9375,90.0,16,5.625,66.0,16,4.125,77.0,16,4.8125,1.0,2,0.5,99.0,16,6.1875
2020-04-09 15:00:00,97.0,170,0.5705882352941176,234.0,170,1.3764705882352941,384.0,170,2.2588235294117647,531.0,170,3.123529411764706,166.0,160,1.0375,392.0,170,2.3058823529411763
2020-04-09 16:00:00,136.0,273,0.4981684981684982,321.0,273,1.1758241758241759,595.0,273,2.1794871794871793,829.0,273,3.0366300366300365,242.0,265,0.9132075471698113,619.0,273,2.2673992673992673
2020-04-09 17:00:00,70.0,122,0.5737704918032787,163.0,122,1.3360655737704918,260.0,122,2.1311475409836067,400.0,122,3.278688524590164,103.0,116,0.8879310344827587,286.0,122,2.3442622950819674
2020-04-09 18:00:00,66.0,81,0.8148148148148148,133.0,81,1.6419753086419753,190.0,81,2.345679012345679,258.0,81,3.185185185185185,69.0,71,0.971830985915493,201.0,81,2.4814814814814814
2020-04-09 19:00:00,48.0,29,1.6551724137931034,78.0,29,2.689655172413793,94.0,29,3.2413793103448274,113.0,29,3.896551724137931,21.0,21,1.0,101.0,29,3.4827586206896552
2020-04-09 20:00:00,93.0,25,3.72,82.0,25,3.28,127.0,25,5.08,130.0,25,5.2,8.0,12,0.6666666666666666,98.0,25,3.92
2020-04-09 21:00:00,28.0,9,3.111111111111111,46.0,9,5.111111111111111,38.0,9,4.222222222222222,48.0,9,5.333333333333333,3.0,4,0.75,52.0,9,5.777777777777778
2020-04-09 22:00:00,45.0,11,4.090909090909091,62.0,11,5.636363636363637,39.0,11,3.5454545454545454,42.0,11,3.8181818181818183,0.0,4,0.0,72.0,11,6.545454545454546
2020-04-09 23:00:00,38.0,9,4.222222222222222,36.0,9,4.0,40.0,9,4.444444444444445,31.0,9,3.4444444444444446,2.0,2,1.0,51.0,9,5.666666666666667
2020-04-10 00:00:00,85.0,17,5.0,92.0,17,5.411764705882353,108.0,17,6.352941176470588,75.0,17,4.411764705882353,2.0,2,1.0,87.0,17,5.117647058823529
2020-04-10 01:00:00,29.0,6,4.833333333333333,31.0,6,5.166666666666667,34.0,6,5.666666666666667,23.0,6,3.8333333333333335,0.0,0,0.0,31.0,6,5.166666666666667
2020-04-10 02:00:00,61.0,8,7.625,26.0,8,3.25,34.0,8,4.25,40.0,8,5.0,0.0,0,0.0,45.0,8,5.625
2020-04-10 03:00:00,53.0,10,5.3,59.0,10,5.9,57.0,10,5.7,38.0,10,3.8,1.0,2,0.5,79.0,10,7.9
2020-04-10 04:00:00,106.0,19,5.578947368421052,115.0,19,6.052631578947368,101.0,19,5.315789473684211,109.0,19,5.7368421052631575,0.0,4,0.0,83.0,19,4.368421052631579
2020-04-10 05:00:00,28.0,7,4.0,37.0,7,5.285714285714286,37.0,7,5.285714285714286,27.0,7,3.857142857142857,0.0,1,0.0,24.0,7,3.4285714285714284
2020-04-10 06:00:00,102.0,17,6.0,90.0,17,5.294117647058823,79.0,17,4.647058823529412,82.0,17,4.823529411764706,2.0,4,0.5,85.0,17,5.0
2020-04-10 07:00:00,73.0,13,5.615384615384615,69.0,13,5.3076923076923075,69.0,13,5.3076923076923075,98.0,13,7.538461538461538,2.0,2,1.0,77.0,13,5.923076923076923
2020-04-10 08:00:00,41.0,10,4.1,63.0,10,6.3,55.0,10,5.5,57.0,10,5.7,1.0,1,1.0,60.0,10,6.0
2020-04-10 09:00:00,44.0,7,6.285714285714286,40.0,7,5.714285714285714,60.0,7,8.571428571428571,52.0,7,7.428571428571429,0.0,1,0.0,31.0,7,4.428571428571429
2020-04-10 10:00:00,106.0,15,7.066666666666666,70.0,15,4.666666666666667,81.0,15,5.4,81.0,15,5.4,1.0,2,0.5,92.0,15,6.133333333333334
2020-04-10 11:00:00,39.0,7,5.571428571428571,32.0,7,4.571428571428571,33.0,7,4.714285714285714,25.0,7,3.5714285714285716,0.0,2,0.0,49.0,7,7.0
2020-04-10 12:00:00,63.0,13,4.846153846153846,101.0,13,7.769230769230769,73.0,13,5.615384615384615,57.0,13,4.384615384615385,1.0,3,0.3333333333333333,70.0,13,5.384615384615385
2020-04-10 13:00:00,41.0,7,5.857142857142857,37.0,7,5.285714285714286,33.0,7,4.714285714285714,39.0,7,5.571428571428571,1.0,1,1.0,40.0,7,5.714285714285714
2020-04-10 14:00:00,79.0,13,6.076923076923077,65.0,13,5.0,59.0,13,4.538461538461538,63.0,13,4.846153846153846,1.0,3,0.3333333333333333,60.0,13,4.615384615384615
2020-04-10 15:00:00,56.0,10,5.6,47.0,10,4.7,41.0,10,4.1,49.0,10,4.9,1.0,2,0.5,55.0,10,5.5
2020-04-10 16:00:00,101.0,16,6.3125,70.0,16,4.375,72.0,16,4.5,105.0,16,6.5625,1.0,1,1.0,91.0,16,5.6875
2020-04-10 17:00:00,38.0,9,4.222222222222222,50.0,9,5.555555555555555,56.0,9,6.222222222222222,47.0,9,5.222222222222222,1.0,1,1.0,63.0,9,7.0
2020-04-10 18:00:00,73.0,12,6.083333333333333,56.0,12,4.666666666666667,66.0,12,5.5,71.0,12,5.916666666666667,2.0,2,1.0,78.0,12,6.5
2020-04-10 19:00:00,49.0,8,6.125,29.0,8,3.625,41.0,8,5.125,49.0,8,6.125,1.0,2,0.5,27.0,8,3.375
2020-04-10 20:00:00,67.0,13,5.153846153846154,49.0,13,3.769230769230769,63.0,13,4.846153846153846,79.0,13,6.076923076923077,0.0,1,0.0,60.0,13,4.615384615384615
2020-04-10 21:00:00,35.0,8,4.375,37.0,8,4.625,43.0,8,5.375,48.0,8,6.0,2.0,2,1.0,46.0,8,5.75
2020-04-10 22:00:00,53.0,10,5.3,50.0,10,5.0,73.0,10,7.3,53.0,10,5.3,1.0,2,0.5,37.0,10,3.7
2020-04-10 23:00:00,44.0,9,4.888888888888889,61.0,9,6.777777777777778,60.0,9,6.666666666666667,58.0,9,6.444444444444445,1.0,1,1.0,60.0,9,6.666666666666667
