time,total sewer & water,number of sewer & water,average sewer & water,total power,number of power,average power,total roads & bridges,number of roads & bridges,average roads & bridges,total buildings,number of buildings,average buildings,total shake intensity,number of shake intensity,average shake intensity,total medical,number of medical,average medical
2020-04-06 00:00:00,13.0,3,4.333333333333333,17.0,3,5.666666666666667,9.0,3,3.0,14.0,3,4.666666666666667,0.0,1,0.0,0.0,0,0.0
2020-04-06 01:00:00,5.0,2,2.5,15.0,2,7.5,19.0,2,9.5,20.0,2,10.0,0.0,1,0.0,0.0,0,0.0
2020-04-06 02:00:00,22.0,3,7.333333333333333,21.0,3,7.0,18.0,3,6.0,8.0,3,2.6666666666666665,0.0,0,0.0,0.0,0,0.0
2020-04-06 03:00:00,7.0,2,3.5,11.0,2,5.5,17.0,2,8.5,11.0,2,5.5,0.0,0,0.0,0.0,0,0.0
2020-04-06 04:00:00,11.0,2,5.5,16.0,2,8.0,16.0,2,8.0,17.0,2,8.5,0.0,0,0.0,0.0,0,0.0
2020-04-06 05:00:00,26.0,4,6.5,25.0,4,6.25,11.0,4,2.75,25.0,4,6.25,0.0,0,0.0,0.0,0,0.0
2020-04-06 06:00:00,10.0,3,3.3333333333333335,27.0,3,9.0,22.0,3,7.333333333333333,25.0,3,8.333333333333334,0.0,0,0.0,0.0,0,0.0
2020-04-06 07:00:00,19.0,2,9.5,12.0,2,6.0,6.0,2,3.0,5.0,2,2.5,0.0,1,0.0,0.0,0,0.0
2020-04-06 08:00:00,4.0,2,2.0,9.0,2,4.5,7.0,2,3.5,4.0,2,2.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 09:00:00,54.0,7,7.714285714285714,32.0,7,4.571428571428571,35.0,7,5.0,42.0,7,6.0,1.0,2,0.5,0.0,0,0.0
2020-04-06 10:00:00,43.0,7,6.142857142857143,42.0,7,6.0,22.0,7,3.142857142857143,28.0,7,4.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 11:00:00,9.0,2,4.5,17.0,2,8.5,19.0,2,9.5,18.0,2,9.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 12:00:00,12.0,3,4.0,12.0,3,4.0,22.0,3,7.333333333333333,10.0,3,3.3333333333333335,1.0,1,1.0,0.0,0,0.0
2020-04-06 13:00:00,4.0,1,4.0,2.0,1,2.0,10.0,1,10.0,6.0,1,6.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 14:00:00,29.0,5,5.8,25.0,5,5.0,29.0,5,5.8,26.0,5,5.2,0.0,0,0.0,8.0,1,8.0
2020-04-06 15:00:00,25.0,7,3.5714285714285716,22.0,7,3.142857142857143,21.0,7,3.0,19.0,7,2.7142857142857144,0.0,3,0.0,0.0,1,0.0
2020-04-06 16:00:00,101.0,38,2.6578947368421053,14.0,38,0.3684210526315789,51.0,38,1.3421052631578947,98.0,38,2.5789473684210527,5.0,34,0.14705882352941177,0.0,0,0.0
2020-04-06 17:00:00,55.0,27,2.037037037037037,8.0,27,0.2962962962962963,8.0,27,0.2962962962962963,54.0,27,2.0,7.0,27,0.25925925925925924,8.0,1,8.0
2020-04-06 18:00:00,46.0,22,2.090909090909091,22.0,22,1.0,18.0,22,0.8181818181818182,45.0,22,2.0454545454545454,2.0,21,0.09523809523809523,0.0,0,0.0
2020-04-06 19:00:00,41.0,13,3.1538461538461537,22.0,13,1.6923076923076923,32.0,13,2.4615384615384617,56.0,13,4.3076923076923075,2.0,9,0.2222222222222222,0.0,0,0.0
2020-04-06 20:00:00,14.0,6,2.3333333333333335,10.0,6,1.6666666666666667,8.0,6,1.3333333333333333,16.0,6,2.6666666666666665,2.0,5,0.4,0.0,0,0.0
2020-04-06 21:00:00,8.0,2,4.0,9.0,2,4.5,12.0,2,6.0,11.0,2,5.5,0.0,0,0.0,0.0,0,0.0
2020-04-06 22:00:00,32.0,9,3.5555555555555554,28.0,9,3.111111111111111,33.0,9,3.6666666666666665,41.0,9,4.555555555555555,2.0,4,0.5,0.0,0,0.0
2020-04-06 23:00:00,39.0,7,5.571428571428571,37.0,7,5.285714285714286,27.0,7,3.857142857142857,42.0,7,6.0,1.0,3,0.3333333333333333,0.0,0,0.0
2020-04-07 00:00:00,29.0,5,5.8,15.0,5,3.0,20.0,5,4.0,29.0,5,5.8,1.0,2,0.5,0.0,0,0.0
2020-04-07 01:00:00,19.0,5,3.8,17.0,5,3.4,24.0,5,4.8,38.0,5,7.6,0.0,0,0.0,0.0,0,0.0
2020-04-07 02:00:00,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2020-04-07 03:00:00,32.0,5,6.4,28.0,5,5.6,29.0,5,5.8,14.0,5,2.8,0.0,1,0.0,0.0,0,0.0
2020-04-07 04:00:00,15.0,4,3.75,24.0,4,6.0,18.0,4,4.5,26.0,4,6.5,0.0,0,0.0,0.0,0,0.0
2020-04-07 05:00:00,24.0,4,6.0,19.0,4,4.75,31.0,4,7.75,20.0,4,5.0,1.0,2,0.5,0.0,0,0.0
2020-04-07 06:00:00,22.0,5,4.4,20.0,5,4.0,26.0,5,5.2,23.0,5,4.6,0.0,0,0.0,0.0,0,0.0
2020-04-07 07:00:00,12.0,2,6.0,8.0,2,4.0,2.0,2,1.0,17.0,2,8.5,0.0,0,0.0,0.0,0,0.0
2020-04-07 08:00:00,13.0,3,4.333333333333333,21.0,3,7.0,13.0,3,4.333333333333333,6.0,3,2.0,0.0,1,0.0,0.0,0,0.0
2020-04-07 09:00:00,17.0,2,8.5,3.0,2,1.5,13.0,2,6.5,6.0,2,3.0,0.0,0,0.0,0.0,0,0.0
2020-04-07 10:00:00,27.0,4,6.75,13.0,4,3.25,24.0,4,6.0,22.0,4,5.5,0.0,0,0.0,0.0,0,0.0
2020-04-07 11:00:00,14.0,2,7.0,9.0,2,4.5,11.0,2,5.5,12.0,2,6.0,0.0,1,0.0,1.0,1,1.0
2020-04-07 12:00:00,15.0,4,3.75,11.0,4,2.75,18.0,4,4.5,16.0,4,4.0,1.0,1,1.0,0.0,0,0.0
2020-04-07 13:00:00,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2020-04-07 14:00:00,15.0,2,7.5,9.0,2,4.5,4.0,2,2.0,15.0,2,7.5,0.0,0,0.0,0.0,0,0.0
2020-04-07 15:00:00,18.0,5,3.6,27.0,5,5.4,12.0,5,2.4,29.0,5,5.8,1.0,1,1.0,0.0,0,0.0
2020-04-07 16:00:00,17.0,3,5.666666666666667,11.0,3,3.6666666666666665,21.0,3,7.0,11.0,3,3.6666666666666665,1.0,1,1.0,0.0,0,0.0
2020-04-07 17:00:00,12.0,2,6.0,9.0,2,4.5,15.0,2,7.5,12.0,2,6.0,0.0,1,0.0,0.0,0,0.0
2020-04-07 18:00:00,9.0,2,4.5,15.0,2,7.5,13.0,2,6.5,11.0,2,5.5,0.0,0,0.0,0.0,0,0.0
2020-04-07 19:00:00,21.0,5,4.2,30.0,5,6.0,29.0,5,5.8,26.0,5,5.2,1.0,2,0.5,0.0,0,0.0
2020-04-07 20:00:00,20.0,3,6.666666666666667,10.0,3,3.3333333333333335,14.0,3,4.666666666666667,16.0,3,5.333333333333333,0.0,0,0.0,0.0,0,0.0
2020-04-07 21:00:00,34.0,5,6.8,31.0,5,6.2,38.0,5,7.6,32.0,5,6.4,0.0,0,0.0,0.0,0,0.0
2020-04-07 22:00:00,23.0,5,4.6,27.0,5,5.4,33.0,5,6.6,35.0,5,7.0,1.0,1,1.0,0.0,0,0.0
2020-04-07 23:00:00,1.0,2,0.5,19.0,2,9.5,2.0,2,1.0,15.0,2,7.5,0.0,0,0.0,0.0,0,0.0
2020-04-08 00:00:00,23.0,3,7.666666666666667,8.0,3,2.6666666666666665,21.0,3,7.0,3.0,3,1.0,0.0,2,0.0,0.0,0,0.0
2020-04-08 01:00:00,18.0,4,4.5,17.0,4,4.25,23.0,4,5.75,37.0,4,9.25,1.0,1,1.0,8.0,1,8.0
2020-04-08 02:00:00,10.0,3,3.3333333333333335,23.0,3,7.666666666666667,18.0,3,6.0,21.0,3,7.0,0.0,0,0.0,0.0,0,0.0
2020-04-08 03:00:00,21.0,4,5.25,13.0,4,3.25,30.0,4,7.5,25.0,4,6.25,0.0,0,0.0,0.0,0,0.0
2020-04-08 04:00:00,20.0,3,6.666666666666667,15.0,3,5.0,15.0,3,5.0,13.0,3,4.333333333333333,0.0,1,0.0,3.0,1,3.0
2020-04-08 05:00:00,4.0,2,2.0,10.0,2,5.0,11.0,2,5.5,3.0,2,1.5,0.0,1,0.0,0.0,0,0.0
2020-04-08 06:00:00,17.0,2,8.5,2.0,2,1.0,16.0,2,8.0,17.0,2,8.5,0.0,0,0.0,0.0,0,0.0
2020-04-08 07:00:00,15.0,2,7.5,10.0,2,5.0,6.0,2,3.0,17.0,2,8.5,0.0,0,0.0,0.0,0,0.0
2020-04-08 08:00:00,31.0,6,5.166666666666667,38.0,6,6.333333333333333,44.0,6,7.333333333333333,26.0,6,4.333333333333333,1.0,1,1.0,0.0,0,0.0
2020-04-08 09:00:00,3880.0,1293,3.00077339520495,9137.0,1293,7.066511987625677,5179.0,1293,4.005413766434648,6490.0,1293,5.019334880123743,5143.0,1291,3.9837335398915568,94.0,22,4.2727272727272725
2020-04-08 10:00:00,3134.0,1031,3.0397672162948592,7225.0,1031,7.007759456838022,4087.0,1031,3.964112512124151,5105.0,1031,4.951503394762367,4059.0,1028,3.948443579766537,65.0,12,5.416666666666667
2020-04-08 11:00:00,1498.0,500,2.996,3512.0,500,7.024,2006.0,500,4.012,2482.0,500,4.964,1704.0,497,3.4285714285714284,11.0,4,2.75
2020-04-08 12:00:00,960.0,313,3.0670926517571884,2187.0,313,6.987220447284345,1280.0,313,4.0894568690095845,1574.0,313,5.0287539936102235,1033.0,305,3.3868852459016394,13.0,3,4.333333333333333
2020-04-08 13:00:00,361.0,123,2.934959349593496,853.0,123,6.934959349593496,484.0,123,3.934959349593496,608.0,123,4.943089430894309,427.0,121,3.5289256198347108,18.0,5,3.6
2020-04-08 14:00:00,268.0,82,3.268292682926829,572.0,82,6.975609756097561,338.0,82,4.121951219512195,408.0,82,4.975609756097561,239.0,80,2.9875,7.0,1,7.0
2020-04-08 15:00:00,130.0,39,3.3333333333333335,271.0,39,6.948717948717949,160.0,39,4.102564102564102,197.0,39,5.051282051282051,105.0,36,2.9166666666666665,8.0,1,8.0
2020-04-08 16:00:00,50.0,17,2.9411764705882355,124.0,17,7.294117647058823,73.0,17,4.294117647058823,79.0,17,4.647058823529412,47.0,13,3.6153846153846154,0.0,0,0.0
2020-04-08 17:00:00,55.0,13,4.230769230769231,76.0,13,5.846153846153846,63.0,13,4.846153846153846,73.0,13,5.615384615384615,21.0,8,2.625,2.0,1,2.0
2020-04-08 18:00:00,66.0,11,6.0,74.0,11,6.7272727272727275,63.0,11,5.7272727272727275,76.0,11,6.909090909090909,14.0,5,2.8,0.0,0,0.0
