time,total sewer & water,number of sewer & water,average sewer & water,total power,number of power,average power,total roads & bridges,number of roads & bridges,average roads & bridges,total buildings,number of buildings,average buildings,total shake intensity,number of shake intensity,average shake intensity,total medical,number of medical,average medical
2020-04-06 00:00:00,13.0,3,4.333333333333333,25.0,3,8.333333333333334,9.0,3,3.0,15.0,3,5.0,0.0,2,0.0,0.0,0,0.0
2020-04-06 01:00:00,89.0,12,7.416666666666667,67.0,12,5.583333333333333,46.0,12,3.8333333333333335,63.0,12,5.25,3.0,4,0.75,0.0,0,0.0
2020-04-06 02:00:00,35.0,9,3.888888888888889,41.0,9,4.555555555555555,50.0,9,5.555555555555555,36.0,9,4.0,2.0,3,0.6666666666666666,0.0,0,0.0
2020-04-06 03:00:00,71.0,12,5.916666666666667,55.0,12,4.583333333333333,82.0,12,6.833333333333333,61.0,12,5.083333333333333,1.0,2,0.5,2.0,1,2.0
2020-04-06 04:00:00,57.0,9,6.333333333333333,28.0,9,3.111111111111111,58.0,9,6.444444444444445,72.0,9,8.0,1.0,2,0.5,0.0,0,0.0
2020-04-06 05:00:00,51.0,9,5.666666666666667,46.0,9,5.111111111111111,48.0,9,5.333333333333333,49.0,9,5.444444444444445,2.0,2,1.0,0.0,0,0.0
2020-04-06 06:00:00,12.0,6,2.0,44.0,6,7.333333333333333,44.0,6,7.333333333333333,31.0,6,5.166666666666667,0.0,1,0.0,0.0,0,0.0
2020-04-06 07:00:00,43.0,8,5.375,42.0,8,5.25,41.0,8,5.125,55.0,8,6.875,0.0,0,0.0,0.0,0,0.0
2020-04-06 08:00:00,43.0,8,5.375,37.0,8,4.625,51.0,8,6.375,46.0,8,5.75,0.0,2,0.0,0.0,0,0.0
2020-04-06 09:00:00,63.0,9,7.0,69.0,9,7.666666666666667,28.0,9,3.111111111111111,46.0,9,5.111111111111111,2.0,3,0.6666666666666666,0.0,0,0.0
2020-04-06 10:00:00,30.0,8,3.75,46.0,8,5.75,35.0,8,4.375,49.0,8,6.125,2.0,2,1.0,0.0,0,0.0
2020-04-06 11:00:00,59.0,11,5.363636363636363,60.0,11,5.454545454545454,57.0,11,5.181818181818182,79.0,11,7.181818181818182,0.0,0,0.0,0.0,0,0.0
2020-04-06 12:00:00,38.0,10,3.8,46.0,10,4.6,59.0,10,5.9,51.0,10,5.1,0.0,1,0.0,0.0,0,0.0
2020-04-06 13:00:00,21.0,3,7.0,20.0,3,6.666666666666667,20.0,3,6.666666666666667,10.0,3,3.3333333333333335,1.0,1,1.0,0.0,0,0.0
2020-04-06 14:00:00,78.0,15,5.2,75.0,15,5.0,92.0,15,6.133333333333334,103.0,15,6.866666666666666,0.0,0,0.0,0.0,0,0.0
2020-04-06 15:00:00,71.0,29,2.4482758620689653,63.0,29,2.1724137931034484,59.0,29,2.0344827586206895,68.0,29,2.3448275862068964,6.0,22,0.2727272727272727,0.0,0,0.0
2020-04-06 16:00:00,91.0,67,1.3582089552238805,82.0,67,1.2238805970149254,93.0,67,1.3880597014925373,135.0,67,2.014925373134328,17.0,56,0.30357142857142855,0.0,0,0.0
2020-04-06 17:00:00,38.0,63,0.6031746031746031,47.0,63,0.746031746031746,68.0,63,1.0793650793650793,92.0,63,1.4603174603174602,6.0,55,0.10909090909090909,27.0,3,9.0
2020-04-06 18:00:00,65.0,37,1.7567567567567568,52.0,37,1.4054054054054055,82.0,37,2.2162162162162162,76.0,37,2.054054054054054,8.0,29,0.27586206896551724,0.0,0,0.0
2020-04-06 19:00:00,45.0,19,2.3684210526315788,47.0,19,2.473684210526316,51.0,19,2.6842105263157894,63.0,19,3.3157894736842106,3.0,10,0.3,4.0,1,4.0
2020-04-06 20:00:00,59.0,14,4.214285714285714,57.0,14,4.071428571428571,56.0,14,4.0,46.0,14,3.2857142857142856,2.0,6,0.3333333333333333,0.0,0,0.0
2020-04-06 21:00:00,31.0,6,5.166666666666667,35.0,6,5.833333333333333,39.0,6,6.5,42.0,6,7.0,0.0,0,0.0,3.0,1,3.0
2020-04-06 22:00:00,61.0,13,4.6923076923076925,46.0,13,3.5384615384615383,72.0,13,5.538461538461538,81.0,13,6.230769230769231,2.0,4,0.5,0.0,0,0.0
2020-04-06 23:00:00,58.0,7,8.285714285714286,31.0,7,4.428571428571429,37.0,7,5.285714285714286,30.0,7,4.285714285714286,0.0,1,0.0,0.0,0,0.0
2020-04-07 00:00:00,42.0,8,5.25,37.0,8,4.625,33.0,8,4.125,44.0,8,5.5,1.0,1,1.0,0.0,0,0.0
2020-04-07 01:00:00,43.0,5,8.6,31.0,5,6.2,17.0,5,3.4,16.0,5,3.2,1.0,1,1.0,0.0,0,0.0
2020-04-07 02:00:00,40.0,5,8.0,23.0,5,4.6,31.0,5,6.2,36.0,5,7.2,1.0,1,1.0,0.0,0,0.0
2020-04-07 03:00:00,39.0,7,5.571428571428571,37.0,7,5.285714285714286,46.0,7,6.571428571428571,40.0,7,5.714285714285714,1.0,1,1.0,0.0,0,0.0
2020-04-07 04:00:00,41.0,11,3.727272727272727,62.0,11,5.636363636363637,67.0,11,6.090909090909091,78.0,11,7.090909090909091,0.0,2,0.0,0.0,0,0.0
2020-04-07 05:00:00,23.0,6,3.8333333333333335,39.0,6,6.5,19.0,6,3.1666666666666665,37.0,6,6.166666666666667,0.0,0,0.0,0.0,0,0.0
2020-04-07 06:00:00,72.0,12,6.0,61.0,12,5.083333333333333,62.0,12,5.166666666666667,81.0,12,6.75,0.0,2,0.0,0.0,0,0.0
2020-04-07 07:00:00,29.0,8,3.625,55.0,8,6.875,44.0,8,5.5,42.0,8,5.25,0.0,0,0.0,7.0,1,7.0
2020-04-07 08:00:00,67.0,11,6.090909090909091,64.0,11,5.818181818181818,42.0,11,3.8181818181818183,70.0,11,6.363636363636363,1.0,1,1.0,0.0,0,0.0
2020-04-07 09:00:00,79.0,11,7.181818181818182,60.0,11,5.454545454545454,55.0,11,5.0,41.0,11,3.727272727272727,0.0,0,0.0,0.0,0,0.0
2020-04-07 10:00:00,80.0,17,4.705882352941177,85.0,17,5.0,75.0,17,4.411764705882353,81.0,17,4.764705882352941,2.0,2,1.0,9.0,1,9.0
2020-04-07 11:00:00,68.0,11,6.181818181818182,49.0,11,4.454545454545454,61.0,11,5.545454545454546,57.0,11,5.181818181818182,1.0,1,1.0,0.0,0,0.0
2020-04-07 12:00:00,57.0,12,4.75,68.0,12,5.666666666666667,67.0,12,5.583333333333333,59.0,12,4.916666666666667,0.0,2,0.0,0.0,0,0.0
2020-04-07 13:00:00,39.0,8,4.875,16.0,8,2.0,34.0,8,4.25,41.0,8,5.125,0.0,1,0.0,0.0,0,0.0
2020-04-07 14:00:00,79.0,11,7.181818181818182,67.0,11,6.090909090909091,68.0,11,6.181818181818182,74.0,11,6.7272727272727275,3.0,3,1.0,0.0,1,0.0
2020-04-07 15:00:00,47.0,8,5.875,60.0,8,7.5,43.0,8,5.375,56.0,8,7.0,1.0,1,1.0,0.0,0,0.0
2020-04-07 16:00:00,96.0,13,7.384615384615385,83.0,13,6.384615384615385,79.0,13,6.076923076923077,69.0,13,5.3076923076923075,0.0,0,0.0,0.0,0,0.0
2020-04-07 17:00:00,62.0,9,6.888888888888889,59.0,9,6.555555555555555,47.0,9,5.222222222222222,61.0,9,6.777777777777778,0.0,1,0.0,0.0,0,0.0
2020-04-07 18:00:00,47.0,9,5.222222222222222,41.0,9,4.555555555555555,50.0,9,5.555555555555555,37.0,9,4.111111111111111,2.0,3,0.6666666666666666,7.0,1,7.0
2020-04-07 19:00:00,61.0,11,5.545454545454546,65.0,11,5.909090909090909,46.0,11,4.181818181818182,58.0,11,5.2727272727272725,1.0,1,1.0,9.0,1,9.0
2020-04-07 20:00:00,42.0,12,3.5,61.0,12,5.083333333333333,33.0,12,2.75,54.0,12,4.5,2.0,3,0.6666666666666666,0.0,0,0.0
2020-04-07 21:00:00,24.0,7,3.4285714285714284,30.0,7,4.285714285714286,33.0,7,4.714285714285714,25.0,7,3.5714285714285716,0.0,0,0.0,0.0,0,0.0
2020-04-07 22:00:00,57.0,9,6.333333333333333,42.0,9,4.666666666666667,34.0,9,3.7777777777777777,52.0,9,5.777777777777778,2.0,4,0.5,0.0,0,0.0
2020-04-07 23:00:00,46.0,9,5.111111111111111,66.0,9,7.333333333333333,44.0,9,4.888888888888889,52.0,9,5.777777777777778,1.0,1,1.0,0.0,0,0.0
2020-04-08 00:00:00,27.0,6,4.5,33.0,6,5.5,39.0,6,6.5,27.0,6,4.5,1.0,1,1.0,0.0,0,0.0
2020-04-08 01:00:00,45.0,9,5.0,54.0,9,6.0,58.0,9,6.444444444444445,41.0,9,4.555555555555555,0.0,1,0.0,3.0,1,3.0
2020-04-08 02:00:00,62.0,13,4.769230769230769,79.0,13,6.076923076923077,60.0,13,4.615384615384615,64.0,13,4.923076923076923,0.0,0,0.0,0.0,0,0.0
2020-04-08 03:00:00,76.0,13,5.846153846153846,83.0,13,6.384615384615385,81.0,13,6.230769230769231,87.0,13,6.6923076923076925,0.0,1,0.0,0.0,1,0.0
2020-04-08 04:00:00,46.0,8,5.75,52.0,8,6.5,54.0,8,6.75,36.0,8,4.5,1.0,1,1.0,0.0,0,0.0
2020-04-08 05:00:00,28.0,3,9.333333333333334,12.0,3,4.0,10.0,3,3.3333333333333335,14.0,3,4.666666666666667,0.0,0,0.0,0.0,0,0.0
2020-04-08 06:00:00,61.0,14,4.357142857142857,71.0,14,5.071428571428571,60.0,14,4.285714285714286,78.0,14,5.571428571428571,1.0,4,0.25,0.0,0,0.0
2020-04-08 07:00:00,41.0,10,4.1,67.0,10,6.7,48.0,10,4.8,65.0,10,6.5,0.0,0,0.0,0.0,0,0.0
