time,tot_sewer_and_water,num_sewer_and_water,avg_sewer_and_water,tot_power,num_power,avg_power,tot_roads_and_bridges,num_roads_and_bridges,avg_roads_and_bridges,tot_buildings,num_buildings,avg_buildings,tot_shake_intensity,num_shake_intensity,avg_shake_intensity,tot_medical,num_medical,avg_medical
2020-04-06 00:00:00,23.0,6,3.8333333333333335,32.0,6,5.333333333333333,49.0,6,8.166666666666666,25.0,6,4.166666666666667,1.0,1,1.0,35.0,6,5.833333333333333
2020-04-06 01:00:00,48.0,10,4.8,45.0,10,4.5,56.0,10,5.6,46.0,10,4.6,0.0,1,0.0,57.0,10,5.7
2020-04-06 02:00:00,66.0,12,5.5,41.0,12,3.4166666666666665,67.0,12,5.583333333333333,60.0,12,5.0,0.0,1,0.0,59.0,12,4.916666666666667
2020-04-06 03:00:00,24.0,4,6.0,29.0,4,7.25,12.0,4,3.0,18.0,4,4.5,1.0,2,0.5,30.0,4,7.5
2020-04-06 04:00:00,23.0,4,5.75,18.0,4,4.5,10.0,4,2.5,31.0,4,7.75,0.0,0,0.0,18.0,4,4.5
2020-04-06 05:00:00,7.0,2,3.5,17.0,2,8.5,13.0,2,6.5,15.0,2,7.5,0.0,0,0.0,8.0,2,4.0
2020-04-06 06:00:00,77.0,16,4.8125,104.0,16,6.5,92.0,16,5.75,90.0,16,5.625,1.0,1,1.0,95.0,16,5.9375
2020-04-06 07:00:00,60.0,10,6.0,53.0,10,5.3,60.0,10,6.0,47.0,10,4.7,0.0,0,0.0,58.0,10,5.8
2020-04-06 08:00:00,79.0,14,5.642857142857143,67.0,14,4.785714285714286,84.0,14,6.0,50.0,14,3.5714285714285716,1.0,2,0.5,94.0,14,6.714285714285714
2020-04-06 09:00:00,30.0,8,3.75,36.0,8,4.5,36.0,8,4.5,38.0,8,4.75,0.0,0,0.0,41.0,8,5.125
2020-04-06 10:00:00,33.0,6,5.5,25.0,6,4.166666666666667,37.0,6,6.166666666666667,22.0,6,3.6666666666666665,0.0,0,0.0,30.0,6,5.0
2020-04-06 11:00:00,33.0,6,5.5,29.0,6,4.833333333333333,35.0,6,5.833333333333333,36.0,6,6.0,0.0,1,0.0,24.0,6,4.0
