time,total sewer & water,number of sewer & water,average sewer & water,total power,number of power,average power,total roads & bridges,number of roads & bridges,average roads & bridges,total buildings,number of buildings,average buildings,total shake intensity,number of shake intensity,average shake intensity,total medical,number of medical,average medical
2020-04-06 00:00:00,10.0,2,5.0,6.0,2,3.0,17.0,2,8.5,7.0,2,3.5,0.0,1,0.0,0.0,0,0.0
2020-04-06 01:00:00,20.0,3,6.666666666666667,25.0,3,8.333333333333334,16.0,3,5.333333333333333,23.0,3,7.666666666666667,0.0,0,0.0,0.0,0,0.0
2020-04-06 02:00:00,14.0,3,4.666666666666667,30.0,3,10.0,24.0,3,8.0,14.0,3,4.666666666666667,1.0,2,0.5,0.0,0,0.0
2020-04-06 03:00:00,6.0,2,3.0,17.0,2,8.5,12.0,2,6.0,1.0,2,0.5,0.0,1,0.0,0.0,0,0.0
2020-04-06 04:00:00,4.0,1,4.0,5.0,1,5.0,10.0,1,10.0,7.0,1,7.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 05:00:00,17.0,2,8.5,15.0,2,7.5,14.0,2,7.0,10.0,2,5.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 06:00:00,0.0,1,0.0,2.0,1,2.0,1.0,1,1.0,10.0,1,10.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 07:00:00,17.0,3,5.666666666666667,20.0,3,6.666666666666667,17.0,3,5.666666666666667,8.0,3,2.6666666666666665,0.0,0,0.0,0.0,0,0.0
2020-04-06 08:00:00,0.0,2,0.0,5.0,2,2.5,4.0,2,2.0,18.0,2,9.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 09:00:00,4.0,2,2.0,12.0,2,6.0,7.0,2,3.5,20.0,2,10.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 10:00:00,13.0,2,6.5,10.0,2,5.0,13.0,2,6.5,14.0,2,7.0,1.0,1,1.0,0.0,0,0.0
2020-04-06 11:00:00,21.0,4,5.25,30.0,4,7.5,20.0,4,5.0,18.0,4,4.5,0.0,0,0.0,0.0,0,0.0
2020-04-06 12:00:00,41.0,6,6.833333333333333,34.0,6,5.666666666666667,37.0,6,6.166666666666667,25.0,6,4.166666666666667,1.0,2,0.5,7.0,1,7.0
2020-04-06 13:00:00,25.0,4,6.25,17.0,4,4.25,13.0,4,3.25,17.0,4,4.25,0.0,0,0.0,0.0,0,0.0
2020-04-06 14:00:00,6.0,1,6.0,10.0,1,10.0,0.0,1,0.0,3.0,1,3.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 15:00:00,10.0,11,0.9090909090909091,6.0,11,0.5454545454545454,8.0,11,0.7272727272727273,10.0,11,0.9090909090909091,10.0,11,0.9090909090909091,0.0,0,0.0
2020-04-06 16:00:00,23.0,19,1.2105263157894737,29.0,19,1.5263157894736843,31.0,19,1.631578947368421,39.0,19,2.0526315789473686,9.0,14,0.6428571428571429,0.0,0,0.0
2020-04-06 17:00:00,11.0,13,0.8461538461538461,16.0,13,1.2307692307692308,6.0,13,0.46153846153846156,17.0,13,1.3076923076923077,6.0,9,0.6666666666666666,0.0,0,0.0
2020-04-06 18:00:00,21.0,13,1.6153846153846154,22.0,13,1.6923076923076923,17.0,13,1.3076923076923077,38.0,13,2.923076923076923,6.0,9,0.6666666666666666,0.0,0,0.0
2020-04-06 19:00:00,7.0,9,0.7777777777777778,5.0,9,0.5555555555555556,7.0,9,0.7777777777777778,9.0,9,1.0,4.0,6,0.6666666666666666,0.0,0,0.0
2020-04-06 20:00:00,27.0,9,3.0,42.0,9,4.666666666666667,21.0,9,2.3333333333333335,39.0,9,4.333333333333333,2.0,4,0.5,0.0,0,0.0
2020-04-06 21:00:00,7.0,2,3.5,5.0,2,2.5,14.0,2,7.0,4.0,2,2.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 22:00:00,17.0,2,8.5,8.0,2,4.0,10.0,2,5.0,15.0,2,7.5,0.0,0,0.0,0.0,0,0.0
2020-04-06 23:00:00,5.0,2,2.5,6.0,2,3.0,4.0,2,2.0,18.0,2,9.0,0.0,0,0.0,0.0,0,0.0
2020-04-07 00:00:00,5.0,1,5.0,6.0,1,6.0,2.0,1,2.0,7.0,1,7.0,1.0,1,1.0,0.0,0,0.0
2020-04-07 01:00:00,22.0,5,4.4,28.0,5,5.6,14.0,5,2.8,26.0,5,5.2,0.0,0,0.0,0.0,0,0.0
2020-04-07 02:00:00,16.0,3,5.333333333333333,18.0,3,6.0,18.0,3,6.0,25.0,3,8.333333333333334,0.0,0,0.0,0.0,0,0.0
2020-04-07 03:00:00,19.0,3,6.333333333333333,20.0,3,6.666666666666667,17.0,3,5.666666666666667,18.0,3,6.0,0.0,0,0.0,0.0,0,0.0
2020-04-07 04:00:00,20.0,4,5.0,31.0,4,7.75,15.0,4,3.75,35.0,4,8.75,0.0,0,0.0,0.0,0,0.0
2020-04-07 05:00:00,3.0,1,3.0,7.0,1,7.0,4.0,1,4.0,3.0,1,3.0,0.0,0,0.0,0.0,0,0.0
2020-04-07 06:00:00,30.0,4,7.5,22.0,4,5.5,29.0,4,7.25,32.0,4,8.0,0.0,1,0.0,0.0,0,0.0
2020-04-07 07:00:00,8.0,3,2.6666666666666665,17.0,3,5.666666666666667,12.0,3,4.0,19.0,3,6.333333333333333,0.0,0,0.0,0.0,0,0.0
2020-04-07 08:00:00,7.0,1,7.0,1.0,1,1.0,5.0,1,5.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0
2020-04-07 09:00:00,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2020-04-07 10:00:00,11.0,2,5.5,10.0,2,5.0,15.0,2,7.5,18.0,2,9.0,0.0,0,0.0,0.0,0,0.0
2020-04-07 11:00:00,5.0,2,2.5,3.0,2,1.5,19.0,2,9.5,15.0,2,7.5,0.0,0,0.0,0.0,0,0.0
2020-04-07 12:00:00,10.0,1,10.0,5.0,1,5.0,1.0,1,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0
2020-04-07 13:00:00,31.0,5,6.2,23.0,5,4.6,19.0,5,3.8,24.0,5,4.8,0.0,0,0.0,0.0,0,0.0
2020-04-07 14:00:00,12.0,2,6.0,14.0,2,7.0,14.0,2,7.0,14.0,2,7.0,0.0,0,0.0,0.0,0,0.0
2020-04-07 15:00:00,31.0,4,7.75,30.0,4,7.5,19.0,4,4.75,25.0,4,6.25,0.0,0,0.0,0.0,0,0.0
2020-04-07 16:00:00,9.0,1,9.0,10.0,1,10.0,5.0,1,5.0,3.0,1,3.0,0.0,1,0.0,0.0,0,0.0
2020-04-07 17:00:00,18.0,4,4.5,31.0,4,7.75,13.0,4,3.25,35.0,4,8.75,0.0,1,0.0,0.0,0,0.0
2020-04-07 18:00:00,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2020-04-07 19:00:00,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
