time,total sewer & water,number of sewer & water,average sewer & water,total power,number of power,average power,total roads & bridges,number of roads & bridges,average roads & bridges,total buildings,number of buildings,average buildings,total shake intensity,number of shake intensity,average shake intensity,total medical,number of medical,average medical
2020-04-06 00:00:00,7.0,1,7.0,5.0,1,5.0,4.0,1,4.0,9.0,1,9.0,0.0,0,0.0,3.0,1,3.0
2020-04-06 01:00:00,20.0,2,10.0,8.0,2,4.0,10.0,2,5.0,14.0,2,7.0,0.0,0,0.0,16.0,2,8.0
2020-04-06 02:00:00,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 03:00:00,20.0,2,10.0,10.0,2,5.0,13.0,2,6.5,19.0,2,9.5,0.0,0,0.0,10.0,2,5.0
2020-04-06 04:00:00,18.0,3,6.0,15.0,3,5.0,10.0,3,3.3333333333333335,19.0,3,6.333333333333333,1.0,1,1.0,16.0,3,5.333333333333333
2020-04-06 05:00:00,17.0,2,8.5,16.0,2,8.0,10.0,2,5.0,13.0,2,6.5,1.0,1,1.0,8.0,2,4.0
2020-04-06 06:00:00,37.0,8,4.625,33.0,8,4.125,42.0,8,5.25,36.0,8,4.5,0.0,0,0.0,67.0,8,8.375
2020-04-06 07:00:00,10.0,2,5.0,6.0,2,3.0,13.0,2,6.5,4.0,2,2.0,0.0,0,0.0,13.0,2,6.5
2020-04-06 08:00:00,21.0,5,4.2,32.0,5,6.4,20.0,5,4.0,34.0,5,6.8,0.0,0,0.0,29.0,5,5.8
2020-04-06 09:00:00,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 10:00:00,47.0,10,4.7,40.0,10,4.0,30.0,10,3.0,58.0,10,5.8,0.0,0,0.0,53.0,10,5.3
2020-04-06 11:00:00,30.0,4,7.5,14.0,4,3.5,19.0,4,4.75,18.0,4,4.5,1.0,1,1.0,24.0,4,6.0
2020-04-06 12:00:00,9.0,4,2.25,20.0,4,5.0,18.0,4,4.5,7.0,4,1.75,0.0,0,0.0,21.0,4,5.25
2020-04-06 13:00:00,30.0,5,6.0,20.0,5,4.0,30.0,5,6.0,19.0,5,3.8,0.0,0,0.0,26.0,5,5.2
2020-04-06 14:00:00,41.0,5,8.2,9.0,5,1.8,18.0,5,3.6,24.0,5,4.8,0.0,2,0.0,20.0,5,4.0
2020-04-06 15:00:00,15.0,8,1.875,14.0,8,1.75,29.0,8,3.625,9.0,8,1.125,4.0,6,0.6666666666666666,27.0,8,3.375
2020-04-06 16:00:00,4.0,23,0.17391304347826086,6.0,23,0.2608695652173913,27.0,23,1.173913043478261,8.0,23,0.34782608695652173,3.0,21,0.14285714285714285,14.0,23,0.6086956521739131
2020-04-06 17:00:00,24.0,29,0.8275862068965517,29.0,29,1.0,48.0,29,1.6551724137931034,24.0,29,0.8275862068965517,7.0,26,0.2692307692307692,12.0,29,0.41379310344827586
2020-04-06 18:00:00,48.0,19,2.526315789473684,36.0,19,1.894736842105263,51.0,19,2.6842105263157894,38.0,19,2.0,3.0,13,0.23076923076923078,64.0,19,3.3684210526315788
2020-04-06 19:00:00,8.0,10,0.8,23.0,10,2.3,17.0,10,1.7,22.0,10,2.2,2.0,7,0.2857142857142857,16.0,10,1.6
2020-04-06 20:00:00,14.0,6,2.3333333333333335,24.0,6,4.0,9.0,6,1.5,19.0,6,3.1666666666666665,1.0,3,0.3333333333333333,4.0,6,0.6666666666666666
2020-04-06 21:00:00,38.0,5,7.6,26.0,5,5.2,19.0,5,3.8,29.0,5,5.8,0.0,0,0.0,29.0,5,5.8
