time,total sewer & water,number of sewer & water,average sewer & water,total power,number of power,average power,total roads & bridges,number of roads & bridges,average roads & bridges,total buildings,number of buildings,average buildings,total shake intensity,number of shake intensity,average shake intensity,total medical,number of medical,average medical
2020-04-06 00:00:00,9.0,2,4.5,6.0,2,3.0,3.0,2,1.5,13.0,2,6.5,0.0,0,0.0,16.0,2,8.0
2020-04-06 01:00:00,14.0,3,4.666666666666667,10.0,3,3.3333333333333335,13.0,3,4.333333333333333,15.0,3,5.0,0.0,0,0.0,13.0,3,4.333333333333333
2020-04-06 02:00:00,11.0,2,5.5,10.0,2,5.0,5.0,2,2.5,15.0,2,7.5,0.0,0,0.0,9.0,2,4.5
2020-04-06 03:00:00,21.0,3,7.0,10.0,3,3.3333333333333335,9.0,3,3.0,13.0,3,4.333333333333333,0.0,0,0.0,27.0,3,9.0
2020-04-06 04:00:00,36.0,6,6.0,30.0,6,5.0,28.0,6,4.666666666666667,38.0,6,6.333333333333333,1.0,1,1.0,24.0,6,4.0
2020-04-06 05:00:00,14.0,4,3.5,38.0,4,9.5,30.0,4,7.5,26.0,4,6.5,1.0,2,0.5,24.0,4,6.0
2020-04-06 06:00:00,33.0,7,4.714285714285714,53.0,7,7.571428571428571,29.0,7,4.142857142857143,42.0,7,6.0,0.0,3,0.0,43.0,7,6.142857142857143
2020-04-06 07:00:00,13.0,2,6.5,16.0,2,8.0,7.0,2,3.5,5.0,2,2.5,1.0,1,1.0,4.0,2,2.0
2020-04-06 08:00:00,14.0,2,7.0,10.0,2,5.0,16.0,2,8.0,12.0,2,6.0,0.0,0,0.0,9.0,2,4.5
2020-04-06 09:00:00,16.0,5,3.2,31.0,5,6.2,34.0,5,6.8,20.0,5,4.0,1.0,1,1.0,42.0,5,8.4
2020-04-06 10:00:00,10.0,2,5.0,11.0,2,5.5,20.0,2,10.0,12.0,2,6.0,0.0,0,0.0,13.0,2,6.5
2020-04-06 11:00:00,10.0,1,10.0,0.0,1,0.0,1.0,1,1.0,2.0,1,2.0,0.0,0,0.0,2.0,1,2.0
2020-04-06 12:00:00,23.0,5,4.6,12.0,5,2.4,33.0,5,6.6,24.0,5,4.8,0.0,0,0.0,24.0,5,4.8
2020-04-06 13:00:00,17.0,4,4.25,35.0,4,8.75,28.0,4,7.0,27.0,4,6.75,0.0,0,0.0,30.0,4,7.5
2020-04-06 14:00:00,12.0,2,6.0,13.0,2,6.5,13.0,2,6.5,7.0,2,3.5,0.0,0,0.0,12.0,2,6.0
2020-04-06 15:00:00,17.0,10,1.7,23.0,10,2.3,27.0,10,2.7,31.0,10,3.1,3.0,7,0.42857142857142855,13.0,10,1.3
2020-04-06 16:00:00,30.0,43,0.6976744186046512,105.0,43,2.441860465116279,22.0,43,0.5116279069767442,47.0,43,1.0930232558139534,8.0,39,0.20512820512820512,39.0,43,0.9069767441860465
2020-04-06 17:00:00,18.0,28,0.6428571428571429,53.0,28,1.8928571428571428,8.0,28,0.2857142857142857,26.0,28,0.9285714285714286,9.0,25,0.36,23.0,28,0.8214285714285714
2020-04-06 18:00:00,21.0,20,1.05,52.0,20,2.6,30.0,20,1.5,30.0,20,1.5,8.0,16,0.5,16.0,20,0.8
2020-04-06 19:00:00,14.0,8,1.75,31.0,8,3.875,22.0,8,2.75,23.0,8,2.875,1.0,5,0.2,24.0,8,3.0
2020-04-06 20:00:00,37.0,10,3.7,49.0,10,4.9,39.0,10,3.9,40.0,10,4.0,2.0,5,0.4,42.0,10,4.2
2020-04-06 21:00:00,34.0,10,3.4,52.0,10,5.2,46.0,10,4.6,34.0,10,3.4,1.0,4,0.25,34.0,10,3.4
2020-04-06 22:00:00,7.0,2,3.5,2.0,2,1.0,10.0,2,5.0,10.0,2,5.0,0.0,1,0.0,10.0,2,5.0
2020-04-06 23:00:00,22.0,8,2.75,21.0,8,2.625,37.0,8,4.625,44.0,8,5.5,1.0,2,0.5,33.0,8,4.125
2020-04-07 00:00:00,47.0,9,5.222222222222222,67.0,9,7.444444444444445,46.0,9,5.111111111111111,49.0,9,5.444444444444445,1.0,2,0.5,55.0,9,6.111111111111111
2020-04-07 01:00:00,37.0,6,6.166666666666667,44.0,6,7.333333333333333,45.0,6,7.5,44.0,6,7.333333333333333,0.0,1,0.0,27.0,6,4.5
2020-04-07 02:00:00,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2020-04-07 03:00:00,11.0,3,3.6666666666666665,12.0,3,4.0,11.0,3,3.6666666666666665,13.0,3,4.333333333333333,0.0,1,0.0,7.0,3,2.3333333333333335
2020-04-07 04:00:00,4.0,2,2.0,9.0,2,4.5,9.0,2,4.5,9.0,2,4.5,0.0,1,0.0,20.0,2,10.0
2020-04-07 05:00:00,15.0,3,5.0,19.0,3,6.333333333333333,22.0,3,7.333333333333333,12.0,3,4.0,0.0,0,0.0,19.0,3,6.333333333333333
2020-04-07 06:00:00,41.0,8,5.125,54.0,8,6.75,47.0,8,5.875,30.0,8,3.75,2.0,3,0.6666666666666666,40.0,8,5.0
2020-04-07 07:00:00,9.0,1,9.0,2.0,1,2.0,10.0,1,10.0,6.0,1,6.0,1.0,1,1.0,7.0,1,7.0
2020-04-07 08:00:00,20.0,7,2.857142857142857,23.0,7,3.2857142857142856,24.0,7,3.4285714285714284,36.0,7,5.142857142857143,0.0,1,0.0,40.0,7,5.714285714285714
