time,tot_sewer_and_water,num_sewer_and_water,avg_sewer_and_water,tot_power,num_power,avg_power,tot_roads_and_bridges,num_roads_and_bridges,avg_roads_and_bridges,tot_buildings,num_buildings,avg_buildings,tot_shake_intensity,num_shake_intensity,avg_shake_intensity,tot_medical,num_medical,avg_medical
2020-04-06 00:00:00,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 01:00:00,15.0,2,7.5,10.0,2,5.0,14.0,2,7.0,11.0,2,5.5,0.0,0,0.0,16.0,2,8.0
2020-04-06 02:00:00,37.0,5,7.4,30.0,5,6.0,37.0,5,7.4,31.0,5,6.2,1.0,1,1.0,31.0,5,6.2
2020-04-06 03:00:00,19.0,4,4.75,10.0,4,2.5,23.0,4,5.75,20.0,4,5.0,0.0,1,0.0,18.0,4,4.5
2020-04-06 04:00:00,5.0,1,5.0,8.0,1,8.0,7.0,1,7.0,7.0,1,7.0,0.0,1,0.0,5.0,1,5.0
2020-04-06 05:00:00,10.0,1,10.0,0.0,1,0.0,10.0,1,10.0,5.0,1,5.0,0.0,0,0.0,2.0,1,2.0
2020-04-06 06:00:00,10.0,1,10.0,10.0,1,10.0,3.0,1,3.0,10.0,1,10.0,1.0,1,1.0,7.0,1,7.0
2020-04-06 07:00:00,10.0,1,10.0,9.0,1,9.0,9.0,1,9.0,10.0,1,10.0,0.0,0,0.0,1.0,1,1.0
2020-04-06 08:00:00,9.0,1,9.0,9.0,1,9.0,10.0,1,10.0,10.0,1,10.0,0.0,0,0.0,10.0,1,10.0
2020-04-06 09:00:00,5.0,1,5.0,6.0,1,6.0,0.0,1,0.0,10.0,1,10.0,0.0,0,0.0,0.0,1,0.0
2020-04-06 10:00:00,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 11:00:00,3.0,1,3.0,10.0,1,10.0,9.0,1,9.0,2.0,1,2.0,0.0,0,0.0,5.0,1,5.0
2020-04-06 12:00:00,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
