time,total sewer & water,number of sewer & water,average sewer & water,total power,number of power,average power,total roads & bridges,number of roads & bridges,average roads & bridges,total buildings,number of buildings,average buildings,total shake intensity,number of shake intensity,average shake intensity,total medical,number of medical,average medical
2020-04-06 00:00:00,21.0,3,7.0,23.0,3,7.666666666666667,15.0,3,5.0,13.0,3,4.333333333333333,2.0,2,1.0,0.0,0,0.0
2020-04-06 01:00:00,19.0,3,6.333333333333333,7.0,3,2.3333333333333335,18.0,3,6.0,13.0,3,4.333333333333333,2.0,2,1.0,0.0,1,0.0
2020-04-06 02:00:00,40.0,5,8.0,28.0,5,5.6,24.0,5,4.8,21.0,5,4.2,0.0,0,0.0,0.0,0,0.0
2020-04-06 03:00:00,17.0,3,5.666666666666667,24.0,3,8.0,18.0,3,6.0,16.0,3,5.333333333333333,0.0,0,0.0,0.0,0,0.0
2020-04-06 04:00:00,5.0,3,1.6666666666666667,14.0,3,4.666666666666667,14.0,3,4.666666666666667,14.0,3,4.666666666666667,0.0,0,0.0,0.0,0,0.0
2020-04-06 05:00:00,3.0,2,1.5,8.0,2,4.0,8.0,2,4.0,10.0,2,5.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 06:00:00,30.0,5,6.0,24.0,5,4.8,27.0,5,5.4,38.0,5,7.6,0.0,1,0.0,0.0,0,0.0
2020-04-06 07:00:00,24.0,4,6.0,18.0,4,4.5,25.0,4,6.25,27.0,4,6.75,0.0,1,0.0,0.0,0,0.0
2020-04-06 08:00:00,40.0,7,5.714285714285714,53.0,7,7.571428571428571,18.0,7,2.5714285714285716,48.0,7,6.857142857142857,1.0,2,0.5,0.0,0,0.0
2020-04-06 09:00:00,33.0,5,6.6,23.0,5,4.6,35.0,5,7.0,13.0,5,2.6,1.0,1,1.0,0.0,0,0.0
2020-04-06 10:00:00,9.0,1,9.0,3.0,1,3.0,2.0,1,2.0,1.0,1,1.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 11:00:00,28.0,4,7.0,20.0,4,5.0,16.0,4,4.0,22.0,4,5.5,0.0,0,0.0,0.0,0,0.0
2020-04-06 12:00:00,16.0,2,8.0,14.0,2,7.0,0.0,2,0.0,3.0,2,1.5,0.0,0,0.0,0.0,0,0.0
2020-04-06 13:00:00,13.0,3,4.333333333333333,14.0,3,4.666666666666667,6.0,3,2.0,21.0,3,7.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 14:00:00,18.0,4,4.5,19.0,4,4.75,29.0,4,7.25,24.0,4,6.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 15:00:00,73.0,18,4.055555555555555,30.0,18,1.6666666666666667,29.0,18,1.6111111111111112,56.0,18,3.111111111111111,5.0,14,0.35714285714285715,0.0,0,0.0
2020-04-06 16:00:00,187.0,54,3.462962962962963,42.0,54,0.7777777777777778,38.0,54,0.7037037037037037,179.0,54,3.314814814814815,14.0,49,0.2857142857142857,1.0,1,1.0
2020-04-06 17:00:00,185.0,56,3.3035714285714284,77.0,56,1.375,41.0,56,0.7321428571428571,198.0,56,3.5357142857142856,15.0,49,0.30612244897959184,12.0,2,6.0
2020-04-06 18:00:00,74.0,21,3.5238095238095237,26.0,21,1.2380952380952381,30.0,21,1.4285714285714286,68.0,21,3.238095238095238,4.0,17,0.23529411764705882,8.0,2,4.0
2020-04-06 19:00:00,59.0,16,3.6875,18.0,16,1.125,32.0,16,2.0,68.0,16,4.25,1.0,10,0.1,0.0,0,0.0
2020-04-06 20:00:00,35.0,9,3.888888888888889,22.0,9,2.4444444444444446,9.0,9,1.0,33.0,9,3.6666666666666665,3.0,8,0.375,0.0,0,0.0
2020-04-06 21:00:00,30.0,5,6.0,16.0,5,3.2,25.0,5,5.0,34.0,5,6.8,2.0,3,0.6666666666666666,0.0,0,0.0
2020-04-06 22:00:00,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2020-04-06 23:00:00,17.0,5,3.4,21.0,5,4.2,43.0,5,8.6,35.0,5,7.0,0.0,1,0.0,5.0,1,5.0
2020-04-07 00:00:00,16.0,5,3.2,30.0,5,6.0,18.0,5,3.6,28.0,5,5.6,0.0,0,0.0,0.0,0,0.0
2020-04-07 01:00:00,39.0,6,6.5,34.0,6,5.666666666666667,25.0,6,4.166666666666667,22.0,6,3.6666666666666665,1.0,2,0.5,0.0,0,0.0
2020-04-07 02:00:00,17.0,3,5.666666666666667,5.0,3,1.6666666666666667,17.0,3,5.666666666666667,14.0,3,4.666666666666667,0.0,0,0.0,0.0,0,0.0
2020-04-07 03:00:00,41.0,9,4.555555555555555,58.0,9,6.444444444444445,58.0,9,6.444444444444445,45.0,9,5.0,0.0,0,0.0,0.0,0,0.0
2020-04-07 04:00:00,11.0,2,5.5,12.0,2,6.0,6.0,2,3.0,7.0,2,3.5,0.0,0,0.0,0.0,0,0.0
2020-04-07 05:00:00,18.0,3,6.0,15.0,3,5.0,16.0,3,5.333333333333333,16.0,3,5.333333333333333,1.0,1,1.0,0.0,0,0.0
2020-04-07 06:00:00,23.0,5,4.6,24.0,5,4.8,30.0,5,6.0,24.0,5,4.8,0.0,0,0.0,0.0,0,0.0
2020-04-07 07:00:00,31.0,7,4.428571428571429,38.0,7,5.428571428571429,32.0,7,4.571428571428571,35.0,7,5.0,0.0,0,0.0,0.0,0,0.0
2020-04-07 08:00:00,6.0,3,2.0,22.0,3,7.333333333333333,11.0,3,3.6666666666666665,1.0,3,0.3333333333333333,1.0,2,0.5,0.0,0,0.0
2020-04-07 09:00:00,32.0,6,5.333333333333333,29.0,6,4.833333333333333,41.0,6,6.833333333333333,36.0,6,6.0,0.0,0,0.0,0.0,0,0.0
2020-04-07 10:00:00,71.0,9,7.888888888888889,46.0,9,5.111111111111111,60.0,9,6.666666666666667,47.0,9,5.222222222222222,1.0,1,1.0,4.0,1,4.0
2020-04-07 11:00:00,54.0,9,6.0,36.0,9,4.0,60.0,9,6.666666666666667,46.0,9,5.111111111111111,0.0,1,0.0,0.0,0,0.0
2020-04-07 12:00:00,8.0,3,2.6666666666666665,24.0,3,8.0,28.0,3,9.333333333333334,14.0,3,4.666666666666667,0.0,1,0.0,0.0,0,0.0
2020-04-07 13:00:00,28.0,5,5.6,33.0,5,6.6,23.0,5,4.6,31.0,5,6.2,0.0,0,0.0,0.0,0,0.0
2020-04-07 14:00:00,14.0,4,3.5,23.0,4,5.75,27.0,4,6.75,31.0,4,7.75,1.0,2,0.5,0.0,0,0.0
2020-04-07 15:00:00,19.0,2,9.5,14.0,2,7.0,2.0,2,1.0,13.0,2,6.5,0.0,0,0.0,0.0,0,0.0
2020-04-07 16:00:00,48.0,7,6.857142857142857,27.0,7,3.857142857142857,43.0,7,6.142857142857143,43.0,7,6.142857142857143,2.0,2,1.0,0.0,0,0.0
2020-04-07 17:00:00,29.0,5,5.8,39.0,5,7.8,21.0,5,4.2,35.0,5,7.0,1.0,1,1.0,0.0,0,0.0
2020-04-07 18:00:00,24.0,3,8.0,15.0,3,5.0,15.0,3,5.0,16.0,3,5.333333333333333,1.0,1,1.0,0.0,0,0.0
2020-04-07 19:00:00,8.0,4,2.0,19.0,4,4.75,11.0,4,2.75,23.0,4,5.75,0.0,1,0.0,0.0,0,0.0
2020-04-07 20:00:00,23.0,4,5.75,23.0,4,5.75,27.0,4,6.75,15.0,4,3.75,0.0,1,0.0,0.0,0,0.0
2020-04-07 21:00:00,22.0,3,7.333333333333333,16.0,3,5.333333333333333,25.0,3,8.333333333333334,21.0,3,7.0,0.0,0,0.0,0.0,0,0.0
2020-04-07 22:00:00,28.0,5,5.6,35.0,5,7.0,32.0,5,6.4,21.0,5,4.2,1.0,1,1.0,0.0,0,0.0
2020-04-07 23:00:00,13.0,2,6.5,9.0,2,4.5,12.0,2,6.0,5.0,2,2.5,0.0,0,0.0,0.0,0,0.0
2020-04-08 00:00:00,21.0,5,4.2,31.0,5,6.2,33.0,5,6.6,30.0,5,6.0,0.0,1,0.0,0.0,0,0.0
2020-04-08 01:00:00,15.0,4,3.75,4.0,4,1.0,28.0,4,7.0,14.0,4,3.5,0.0,0,0.0,0.0,0,0.0
2020-04-08 02:00:00,45.0,6,7.5,39.0,6,6.5,33.0,6,5.5,17.0,6,2.8333333333333335,3.0,4,0.75,0.0,0,0.0
2020-04-08 03:00:00,11.0,2,5.5,20.0,2,10.0,10.0,2,5.0,14.0,2,7.0,0.0,1,0.0,0.0,0,0.0
2020-04-08 04:00:00,12.0,4,3.0,16.0,4,4.0,16.0,4,4.0,23.0,4,5.75,1.0,1,1.0,0.0,0,0.0
2020-04-08 05:00:00,13.0,3,4.333333333333333,17.0,3,5.666666666666667,18.0,3,6.0,12.0,3,4.0,0.0,0,0.0,0.0,0,0.0
2020-04-08 06:00:00,22.0,3,7.333333333333333,17.0,3,5.666666666666667,8.0,3,2.6666666666666665,10.0,3,3.3333333333333335,1.0,1,1.0,0.0,0,0.0
2020-04-08 07:00:00,26.0,6,4.333333333333333,41.0,6,6.833333333333333,39.0,6,6.5,38.0,6,6.333333333333333,1.0,1,1.0,0.0,0,0.0
2020-04-08 08:00:00,23.0,5,4.6,16.0,5,3.2,30.0,5,6.0,12.0,5,2.4,0.0,0,0.0,0.0,0,0.0
2020-04-08 09:00:00,251.0,205,1.224390243902439,437.0,205,2.131707317073171,436.0,205,2.126829268292683,621.0,205,3.029268292682927,586.0,198,2.95959595959596,19.0,3,6.333333333333333
2020-04-08 10:00:00,221.0,187,1.1818181818181819,386.0,187,2.064171122994652,391.0,187,2.090909090909091,577.0,187,3.085561497326203,521.0,183,2.8469945355191255,0.0,0,0.0
2020-04-08 11:00:00,141.0,120,1.175,243.0,120,2.025,244.0,120,2.033333333333333,370.0,120,3.0833333333333335,218.0,118,1.847457627118644,10.0,2,5.0
2020-04-08 12:00:00,86.0,84,1.0238095238095237,178.0,84,2.119047619047619,166.0,84,1.9761904761904763,246.0,84,2.9285714285714284,156.0,80,1.95,15.0,2,7.5
2020-04-08 13:00:00,50.0,30,1.6666666666666667,85.0,30,2.8333333333333335,78.0,30,2.6,83.0,30,2.7666666666666666,41.0,26,1.5769230769230769,10.0,2,5.0
2020-04-08 14:00:00,50.0,27,1.8518518518518519,68.0,27,2.5185185185185186,73.0,27,2.7037037037037037,103.0,27,3.814814814814815,53.0,23,2.3043478260869565,0.0,0,0.0
2020-04-08 15:00:00,29.0,9,3.2222222222222223,35.0,9,3.888888888888889,44.0,9,4.888888888888889,45.0,9,5.0,9.0,6,1.5,0.0,0,0.0
2020-04-08 16:00:00,32.0,8,4.0,26.0,8,3.25,30.0,8,3.75,35.0,8,4.375,9.0,4,2.25,0.0,0,0.0
2020-04-08 17:00:00,24.0,6,4.0,35.0,6,5.833333333333333,18.0,6,3.0,22.0,6,3.6666666666666665,0.0,2,0.0,0.0,0,0.0
2020-04-08 18:00:00,26.0,4,6.5,22.0,4,5.5,32.0,4,8.0,10.0,4,2.5,1.0,1,1.0,0.0,0,0.0
2020-04-08 19:00:00,20.0,4,5.0,22.0,4,5.5,19.0,4,4.75,27.0,4,6.75,3.0,1,3.0,0.0,0,0.0
2020-04-08 20:00:00,17.0,4,4.25,27.0,4,6.75,32.0,4,8.0,27.0,4,6.75,0.0,0,0.0,0.0,0,0.0
2020-04-08 21:00:00,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2020-04-08 22:00:00,12.0,3,4.0,16.0,3,5.333333333333333,6.0,3,2.0,13.0,3,4.333333333333333,5.0,2,2.5,6.0,1,6.0
2020-04-08 23:00:00,16.0,4,4.0,22.0,4,5.5,28.0,4,7.0,25.0,4,6.25,0.0,0,0.0,0.0,0,0.0
2020-04-09 00:00:00,0.0,1,0.0,7.0,1,7.0,10.0,1,10.0,5.0,1,5.0,0.0,0,0.0,0.0,0,0.0
2020-04-09 01:00:00,20.0,3,6.666666666666667,8.0,3,2.6666666666666665,21.0,3,7.0,17.0,3,5.666666666666667,0.0,0,0.0,0.0,0,0.0
2020-04-09 02:00:00,4.0,3,1.3333333333333333,22.0,3,7.333333333333333,25.0,3,8.333333333333334,14.0,3,4.666666666666667,0.0,0,0.0,0.0,0,0.0
2020-04-09 03:00:00,21.0,5,4.2,14.0,5,2.8,24.0,5,4.8,32.0,5,6.4,1.0,2,0.5,0.0,0,0.0
